maylandia_zebra ENSMZEG00005006635
astatotilapia_calliptera ENSACLG00000020394
monopterus_albus ENSMALG00000000906
acanthochromis_polyacanthus ENSAPOG00000005950
amphiprion_ocellaris ENSAOCG00000016916
stegastes_partitus ENSSPAG00000010637
poecilia_reticulata ENSPREG00000000858
poecilia_latipinna ENSPLAG00000021931
xiphophorus_couchianus ENSXCOG00000002530
xiphophorus_maculatus ENSXMAG00000029004
kryptolebias_marmoratus ENSKMAG00000001673
scophthalmus_maximus ENSSMAG00000004700
hippocampus_comes ENSHCOG00000014076
salvator_merianae ENSSMRG00000023250
anas_platyrhynchos_platyrhynchos ENSAPLG00000022437
