poecilia_reticulata ENSPREG00000017156
poecilia_mexicana ENSPMEG00000009325
poecilia_latipinna ENSPLAG00000004756
xiphophorus_maculatus ENSXMAG00000025649
xiphophorus_couchianus ENSXCOG00000012930
fundulus_heteroclitus ENSFHEG00000018681
cyprinodon_variegatus ENSCVAG00000017954
kryptolebias_marmoratus ENSKMAG00000001268
oryzias_melastigma ENSOMEG00000006802
oryzias_latipes_asm223471v1 ENSORLG00020020214
seriola_dumerili ENSSDUG00000001740
takifugu_rubripes ENSTRUG00000022087
stegastes_partitus ENSSPAG00000008906
gadus_morhua ENSGMOG00000020000
