ursus_maritimus ENSUMAG00000002975
ursus_americanus ENSUAMG00000021573
canis_lupus_dingo ENSCAFG00020000387
vulpes_vulpes ENSVVUG00000000080
equus_caballus ENSECAG00000017547
octodon_degus ENSODEG00000008191
chinchilla_lanigera ENSCLAG00000004581
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018753
fukomys_damarensis ENSFDAG00000013456
urocitellus_parryii ENSUPAG00010021214
ictidomys_tridecemlineatus ENSSTOG00000010831
dipodomys_ordii ENSDORG00000026004
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026520
meriones_unguiculatus ENSMUGG00000027109
nannospalax_galili ENSNGAG00000001997
jaculus_jaculus ENSJJAG00000008397
oryctolagus_cuniculus ENSOCUG00000009788
macaca_mulatta ENSMMUG00000022925
papio_anubis ENSPANG00000006666
rhinopithecus_bieti ENSRBIG00000034705
saimiri_boliviensis_boliviensis ENSSBOG00000018966
loxodonta_africana ENSLAFG00000032222
phascolarctos_cinereus ENSPCIG00000022466
ornithorhynchus_anatinus ENSOANG00000013743
chelonoidis_abingdonii ENSCABG00000013686
crocodylus_porosus ENSCPRG00005008439
salvator_merianae ENSSMRG00000023681
notechis_scutatus ENSNSUG00000002508
oreochromis_niloticus ENSONIG00000005556
amphilophus_citrinellus ENSACIG00000013004
oryzias_melastigma ENSOMEG00000004474
oryzias_latipes_asm223467v1 ENSORLG00000012312
tetraodon_nigroviridis ENSTNIG00000000272
takifugu_rubripes ENSTRUG00000001552
mola_mola ENSMMOG00000003743
gasterosteus_aculeatus ENSGACG00000007177
seriola_dumerili ENSSDUG00000012366
hippocampus_comes ENSHCOG00000012174
anolis_carolinensis ENSACAG00000017891
pogona_vitticeps ENSPVIG00000013290
sphenodon_punctatus ENSSPUG00000012953
chrysemys_picta_bellii ENSCPBG00000016123
gopherus_agassizii ENSGAGG00000011156
pelodiscus_sinensis ENSPSIG00000003417
ornithorhynchus_anatinus ENSOANG00000006055
ornithorhynchus_anatinus ENSOANG00000022681
loxodonta_africana ENSLAFG00000010736
procavia_capensis ENSPCAG00000008598
echinops_telfairi ENSETEG00000017645
choloepus_hoffmanni ENSCHOG00000004614
dasypus_novemcinctus ENSDNOG00000008877
prolemur_simus ENSPSMG00000021903
microcebus_murinus ENSMICG00000048888
propithecus_coquereli ENSPCOG00000017901
pan_troglodytes ENSPTRG00000015597
pan_paniscus ENSPPAG00000001189
homo_sapiens ENSG00000174776
gorilla_gorilla ENSGGOG00000009023
pongo_abelii ENSPPYG00000014274
nomascus_leucogenys ENSNLEG00000004867
papio_anubis ENSPANG00000008048
theropithecus_gelada ENSTGEG00000000302
cercocebus_atys ENSCATG00000041769
macaca_fascicularis ENSMFAG00000043934
macaca_nemestrina ENSMNEG00000030160
mandrillus_leucophaeus ENSMLEG00000033324
chlorocebus_sabaeus ENSCSAG00000012496
piliocolobus_tephrosceles ENSPTEG00000034113
colobus_angolensis_palliatus ENSCANG00000020639
rhinopithecus_roxellana ENSRROG00000031512
rhinopithecus_bieti ENSRBIG00000039979
callithrix_jacchus ENSCJAG00000002774
cebus_capucinus_imitator ENSCCAG00000018957
aotus_nancymaae ENSANAG00000035397
cricetulus_griseus_crigri-picr ENSCGRG00015024443
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014753
mesocricetus_auratus ENSMAUG00000016682
microtus_ochrogaster ENSMOCG00000007033
peromyscus_maniculatus_bairdii ENSPEMG00000020883
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026019
mus_spicilegus ENSMSIG00000013689
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000104301
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025077
rattus_norvegicus ENSRNOG00000024628
castor_canadensis ENSCCNG00000011692
spermophilus_dauricus ENSSDAG00000005690
marmota_marmota_marmota ENSMMMG00000007692
tupaia_belangeri ENSTBEG00000008633
ochotona_princeps ENSOPRG00000011027
carlito_syrichta ENSTSYG00000004213
otolemur_garnettii ENSOGAG00000024542
pteropus_vampyrus ENSPVAG00000014523
myotis_lucifugus ENSMLUG00000013017
mustela_putorius_furo ENSMPUG00000017074
neovison_vison ENSNVIG00000024831
ailuropoda_melanoleuca ENSAMEG00000002198
canis_lupus_familiaris ENSCAFG00000014555
panthera_pardus ENSPPRG00000013148
panthera_tigris_altaica ENSPTIG00000015988
felis_catus ENSFCAG00000010335
capra_hircus ENSCHIG00000013106
ovis_aries ENSOARG00000001367
bos_taurus ENSBTAG00000031618
bos_mutus ENSBMUG00000009961
bison_bison_bison ENSBBBG00000010072
sus_scrofa ENSSSCG00000011738
tursiops_truncatus ENSTTRG00000016313
vicugna_pacos ENSVPAG00000011654
sorex_araneus ENSSARG00000010296
erinaceus_europaeus ENSEEUG00000005827
notamacropus_eugenii ENSMEUG00000010270
sarcophilus_harrisii ENSSHAG00000007105
monodelphis_domestica ENSMODG00000016248
latimeria_chalumnae ENSLACG00000011954
scophthalmus_maximus ENSSMAG00000020428
cynoglossus_semilaevis ENSCSEG00000001755
labrus_bergylta ENSLBEG00000010049
seriola_lalandi_dorsalis ENSSLDG00000012524
mastacembelus_armatus ENSMAMG00000004378
monopterus_albus ENSMALG00000008898
anabas_testudineus ENSATEG00000003486
pundamilia_nyererei ENSPNYG00000010373
haplochromis_burtoni ENSHBUG00000005604
astatotilapia_calliptera ENSACLG00000003905
maylandia_zebra ENSMZEG00005010928
neolamprologus_brichardi ENSNBRG00000002439
amphilophus_citrinellus ENSACIG00000013028
kryptolebias_marmoratus ENSKMAG00000003679
