panthera_pardus ENSPPRG00000024729
panthera_tigris_altaica ENSPTIG00000005997
ursus_americanus ENSUAMG00000006883
capra_hircus ENSCHIG00000027211
sus_scrofa ENSSSCG00000036471
colobus_angolensis_palliatus ENSCANG00000041038
piliocolobus_tephrosceles ENSPTEG00000035444
rhinopithecus_roxellana ENSRROG00000031426
macaca_mulatta ENSMMUG00000047537
piliocolobus_tephrosceles ENSPTEG00000037279
pan_troglodytes ENSPTRG00000049645
callithrix_jacchus ENSCJAG00000045871
saimiri_boliviensis_boliviensis ENSSBOG00000025700
cercocebus_atys ENSCATG00000044704
macaca_fascicularis ENSMFAG00000001709
mandrillus_leucophaeus ENSMLEG00000027786
papio_anubis ENSPANG00000030374
cebus_capucinus_imitator ENSCCAG00000032719
cricetulus_griseus_crigri-picr ENSCGRG00015025598
