macaca_fascicularis ENSMFAG00000026974
macaca_nemestrina ENSMNEG00000027347
cercocebus_atys ENSCATG00000017045
piliocolobus_tephrosceles ENSPTEG00000025267
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000104213
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0000008
mus_spicilegus ENSMSIG00000025393
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0000008
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0000011
peromyscus_maniculatus_bairdii ENSPEMG00000026195
ailuropoda_melanoleuca ENSAMEG00000004905
ursus_americanus ENSUAMG00000017073
canis_lupus_dingo ENSCAFG00020006960
bos_mutus ENSBMUG00000006956
bos_taurus ENSBTAG00000051751
ovis_aries ENSOARG00000009269
dasypus_novemcinctus ENSDNOG00000039335
