anabas_testudineus ENSATEG00000005216
labrus_bergylta ENSLBEG00000025253
hippocampus_comes ENSHCOG00000014423
oryzias_melastigma ENSOMEG00000017334
fundulus_heteroclitus ENSFHEG00000017460
astatotilapia_calliptera ENSACLG00000003674
takifugu_rubripes ENSTRUG00000012385
tetraodon_nigroviridis ENSTNIG00000017468
tetraodon_nigroviridis ENSTNIG00000001306
eptatretus_burgeri ENSEBUG00000004184
ciona_savignyi ENSCSAVG00000011641
ciona_savignyi ENSCSAVG00000011642
ciona_intestinalis ENSCING00000018721
caenorhabditis_elegans_strain_n2 WBGene00000491
