poecilia_formosa ENSPFOG00000020866
poecilia_latipinna ENSPLAG00000000566
poecilia_mexicana ENSPMEG00000003752
xiphophorus_couchianus ENSXCOG00000016282
xiphophorus_maculatus ENSXMAG00000029984
gambusia_affinis ENSGAFG00000000143
poecilia_reticulata ENSPREG00000012962
cyprinodon_variegatus ENSCVAG00000020840
kryptolebias_marmoratus ENSKMAG00000021212
oryzias_latipes_asm223467v1 ENSORLG00000005785
oryzias_latipes_asm223469v1 ENSORLG00015004249
oryzias_latipes_asm223471v1 ENSORLG00020019933
oryzias_melastigma ENSOMEG00000016216
mastacembelus_armatus ENSMAMG00000024067
mola_mola ENSMMOG00000007740
cynoglossus_semilaevis ENSCSEG00000009056
astatotilapia_calliptera ENSACLG00000019818
maylandia_zebra ENSMZEG00005002011
pundamilia_nyererei ENSPNYG00000011523
haplochromis_burtoni ENSHBUG00000012122
neolamprologus_brichardi ENSNBRG00000010229
labrus_bergylta ENSLBEG00000007609
seriola_dumerili ENSSDUG00000012448
seriola_lalandi_dorsalis ENSSLDG00000014426
scophthalmus_maximus ENSSMAG00000006507
monopterus_albus ENSMALG00000001143
stegastes_partitus ENSSPAG00000021665
acanthochromis_polyacanthus ENSAPOG00000000298
hippocampus_comes ENSHCOG00000019304
anabas_testudineus ENSATEG00000024370
esox_lucius ENSELUG00000005233
astyanax_mexicanus ENSAMXG00000025013
pygocentrus_nattereri ENSPNAG00000001808
ictalurus_punctatus ENSIPUG00000017630
danio_rerio ENSDARG00000087388
paramormyrops_kingsleyae ENSPKIG00000012928
scleropages_formosus ENSSFOG00015009456
lepisosteus_oculatus ENSLOCG00000016521
apteryx_owenii ENSAOWG00000002664
apteryx_haastii ENSAHAG00000001049
apteryx_rowi ENSARWG00000005941
dromaius_novaehollandiae ENSDNVG00000018246
nothoprocta_perdicaria ENSNPEG00000013762
serinus_canaria ENSSCAG00000014120
taeniopygia_guttata ENSTGUG00000011781
zonotrichia_albicollis ENSZALG00000016137
junco_hyemalis ENSJHYG00000016466
ficedula_albicollis ENSFALG00000015307
cyanistes_caeruleus ENSCCEG00000015071
manacus_vitellinus ENSMVIG00005017800
lepidothrix_coronata ENSLCOG00000000004
calidris_pygmaea ENSCPGG00000012152
calidris_pugnax ENSCPUG00000000793
gallus_gallus ENSGALG00000053315
coturnix_japonica ENSCJPG00005009138
numida_meleagris ENSNMEG00000022095
anser_brachyrhynchus ENSABRG00000008106
anas_platyrhynchos_platyrhynchos ENSAPLG00000000956
calidris_pugnax ENSCPUG00000000801
gopherus_agassizii ENSGAGG00000005807
chelonoidis_abingdonii ENSCABG00000013213
pelodiscus_sinensis ENSPSIG00000000697
pogona_vitticeps ENSPVIG00000013724
notechis_scutatus ENSNSUG00000004610
salvator_merianae ENSSMRG00000011819
sarcophilus_harrisii ENSSHAG00000000599
monodelphis_domestica ENSMODG00000023325
latimeria_chalumnae ENSLACG00000010114
