felis_catus ENSFCAG00000044901
panthera_tigris_altaica ENSPTIG00000015566
neovison_vison ENSNVIG00000024091
bison_bison_bison ENSBBBG00000003248
bos_mutus ENSBMUG00000015954
ovis_aries ENSOARG00000013692
cricetulus_griseus_crigri_1.0 ENSCGRG00000011245
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013935
cricetulus_griseus_crigri-picr ENSCGRG00015000564
mesocricetus_auratus ENSMAUG00000008841
mus_spicilegus ENSMSIG00000030517
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000109238
octodon_degus ENSODEG00000007772
oryctolagus_cuniculus ENSOCUG00000029450
pan_paniscus ENSPPAG00000036231
pan_troglodytes ENSPTRG00000047984
gorilla_gorilla ENSGGOG00000039804
nomascus_leucogenys ENSNLEG00000029778
piliocolobus_tephrosceles ENSPTEG00000023608
rhinopithecus_bieti ENSRBIG00000036264
macaca_fascicularis ENSMFAG00000000535
macaca_nemestrina ENSMNEG00000028172
theropithecus_gelada ENSTGEG00000029128
papio_anubis ENSPANG00000009097
colobus_angolensis_palliatus ENSCANG00000030072
rhinopithecus_roxellana ENSRROG00000031408
cercocebus_atys ENSCATG00000035284
mandrillus_leucophaeus ENSMLEG00000040524
chlorocebus_sabaeus ENSCSAG00000016809
homo_sapiens ENSG00000237524
saimiri_boliviensis_boliviensis ENSSBOG00000036266
callithrix_jacchus ENSCJAG00000041118
cebus_capucinus_imitator ENSCCAG00000028046
aotus_nancymaae ENSANAG00000001146
carlito_syrichta ENSTSYG00000029533
prolemur_simus ENSPSMG00000003887
propithecus_coquereli ENSPCOG00000028634
microcebus_murinus ENSMICG00000045414
dasypus_novemcinctus ENSDNOG00000042907
