ictalurus_punctatus ENSIPUG00000020447
hippocampus_comes ENSHCOG00000008785
paramormyrops_kingsleyae ENSPKIG00000011473
scleropages_formosus ENSSFOG00015010736
lepisosteus_oculatus ENSLOCG00000004585
gopherus_agassizii ENSGAGG00000013939
chelonoidis_abingdonii ENSCABG00000007873
apteryx_owenii ENSAOWG00000015644
apteryx_haastii ENSAHAG00000005249
apteryx_rowi ENSARWG00000016598
dromaius_novaehollandiae ENSDNVG00000012009
nothoprocta_perdicaria ENSNPEG00000004876
gallus_gallus ENSGALG00000028256
coturnix_japonica ENSCJPG00005005890
numida_meleagris ENSNMEG00000015270
anser_brachyrhynchus ENSABRG00000013015
anas_platyrhynchos_platyrhynchos ENSAPLG00000025655
serinus_canaria ENSSCAG00000003321
lonchura_striata_domestica ENSLSDG00000013308
zonotrichia_albicollis ENSZALG00000008494
parus_major ENSPMJG00000005256
cyanistes_caeruleus ENSCCEG00000001330
ficedula_albicollis ENSFALG00000009793
manacus_vitellinus ENSMVIG00005013677
lepidothrix_coronata ENSLCOG00000013624
calidris_pygmaea ENSCPGG00000016139
calidris_pugnax ENSCPUG00000005603
pogona_vitticeps ENSPVIG00000016238
salvator_merianae ENSSMRG00000020161
