cebus_capucinus_imitator ENSCCAG00000029433
phascolarctos_cinereus ENSPCIG00000008097
amphiprion_percula ENSAPEG00000021729
amphiprion_percula ENSAPEG00000019130
amphiprion_ocellaris ENSAOCG00000024587
amphiprion_ocellaris ENSAOCG00000015191
amphiprion_ocellaris ENSAOCG00000022030
amphiprion_ocellaris ENSAOCG00000002290
amphiprion_ocellaris ENSAOCG00000022108
amphiprion_percula ENSAPEG00000020282
amphiprion_percula ENSAPEG00000019996
amphiprion_percula ENSAPEG00000019933
amphiprion_percula ENSAPEG00000021255
amphiprion_ocellaris ENSAOCG00000011877
amphiprion_ocellaris ENSAOCG00000003022
amphiprion_percula ENSAPEG00000000131
amphiprion_percula ENSAPEG00000000116
amphiprion_ocellaris ENSAOCG00000011696
