choloepus_hoffmanni ENSCHOG00000011867
dasypus_novemcinctus ENSDNOG00000041970
pan_troglodytes ENSPTRG00000005657
pan_paniscus ENSPPAG00000037828
homo_sapiens ENSG00000247077
gorilla_gorilla ENSGGOG00000010046
nomascus_leucogenys ENSNLEG00000008711
rhinopithecus_roxellana ENSRROG00000035301
colobus_angolensis_palliatus ENSCANG00000036791
rhinopithecus_bieti ENSRBIG00000031021
piliocolobus_tephrosceles ENSPTEG00000031237
macaca_fascicularis ENSMFAG00000003060
macaca_mulatta ENSMMUG00000015466
macaca_nemestrina ENSMNEG00000032035
chlorocebus_sabaeus ENSCSAG00000001826
theropithecus_gelada ENSTGEG00000000657
papio_anubis ENSPANG00000013113
cercocebus_atys ENSCATG00000036376
mandrillus_leucophaeus ENSMLEG00000032682
aotus_nancymaae ENSANAG00000023578
aotus_nancymaae ENSANAG00000030386
saimiri_boliviensis_boliviensis ENSSBOG00000031157
callithrix_jacchus ENSCJAG00000041324
cebus_capucinus_imitator ENSCCAG00000018163
carlito_syrichta ENSTSYG00000027712
propithecus_coquereli ENSPCOG00000017419
microcebus_murinus ENSMICG00000003984
prolemur_simus ENSPSMG00000011290
oryctolagus_cuniculus ENSOCUG00000027733
ochotona_princeps ENSOPRG00000006327
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023531
cricetulus_griseus_crigri-picr ENSCGRG00015020150
cricetulus_griseus_crigri_1.0 ENSCGRG00000008114
mesocricetus_auratus ENSMAUG00000008878
peromyscus_maniculatus_bairdii ENSPEMG00000019076
microtus_ochrogaster ENSMOCG00000018637
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000029500
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028539
mus_spicilegus ENSMSIG00000003160
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027541
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024123
rattus_norvegicus ENSRNOG00000037443
meriones_unguiculatus ENSMUGG00000003414
nannospalax_galili ENSNGAG00000007440
jaculus_jaculus ENSJJAG00000018630
dipodomys_ordii ENSDORG00000023642
castor_canadensis ENSCCNG00000027438
ictidomys_tridecemlineatus ENSSTOG00000015961
marmota_marmota_marmota ENSMMMG00000004629
spermophilus_dauricus ENSSDAG00000006046
chinchilla_lanigera ENSCLAG00000015494
octodon_degus ENSODEG00000007602
cavia_porcellus ENSCPOG00000033389
cavia_aperea ENSCAPG00000014878
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017212
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100006799
fukomys_damarensis ENSFDAG00000005815
otolemur_garnettii ENSOGAG00000027455
capra_hircus ENSCHIG00000018926
ovis_aries ENSOARG00000010258
bos_mutus ENSBMUG00000021881
bos_taurus ENSBTAG00000007513
bison_bison_bison ENSBBBG00000017781
tursiops_truncatus ENSTTRG00000010653
sus_scrofa ENSSSCG00000035618
ursus_maritimus ENSUMAG00000002437
ursus_americanus ENSUAMG00000009552
ailuropoda_melanoleuca ENSAMEG00000013437
neovison_vison ENSNVIG00000022496
mustela_putorius_furo ENSMPUG00000002639
canis_lupus_dingo ENSCAFG00020010168
canis_lupus_familiaris ENSCAFG00000006123
vulpes_vulpes ENSVVUG00000006700
panthera_tigris_altaica ENSPTIG00000001608
panthera_pardus ENSPPRG00000006762
felis_catus ENSFCAG00000002503
felis_catus ENSFCAG00000029085
equus_caballus ENSECAG00000024362
