numida_meleagris ENSNMEG00000003122
chrysemys_picta_bellii ENSCPBG00000018732
ovis_aries ENSOARG00000000540
capra_hircus ENSCHIG00000015928
bos_taurus ENSBTAG00000038461
bos_mutus ENSBMUG00000003229
bison_bison_bison ENSBBBG00000005855
sus_scrofa ENSSSCG00000024402
equus_asinus_asinus ENSEASG00005014949
equus_caballus ENSECAG00000012299
ursus_americanus ENSUAMG00000011097
ursus_maritimus ENSUMAG00000016363
ailuropoda_melanoleuca ENSAMEG00000004046
mustela_putorius_furo ENSMPUG00000005976
mustela_putorius_furo ENSMPUG00000012766
ursus_maritimus ENSUMAG00000016359
neovison_vison ENSNVIG00000010897
canis_lupus_dingo ENSCAFG00020005999
vulpes_vulpes ENSVVUG00000005349
canis_lupus_familiaris ENSCAFG00000024781
panthera_tigris_altaica ENSPTIG00000005414
panthera_pardus ENSPPRG00000011750
felis_catus ENSFCAG00000030909
meriones_unguiculatus ENSMUGG00000026395
microcebus_murinus ENSMICG00000027775
prolemur_simus ENSPSMG00000004618
macaca_fascicularis ENSMFAG00000043777
macaca_nemestrina ENSMNEG00000044167
macaca_mulatta ENSMMUG00000021523
theropithecus_gelada ENSTGEG00000005021
piliocolobus_tephrosceles ENSPTEG00000010623
loxodonta_africana ENSLAFG00000028486
otolemur_garnettii ENSOGAG00000027004
ornithorhynchus_anatinus ENSOANG00000020782
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000030359
mus_spicilegus ENSMSIG00000000481
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029955
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028911
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022675
rattus_norvegicus ENSRNOG00000006709
meriones_unguiculatus ENSMUGG00000017812
meriones_unguiculatus ENSMUGG00000017690
cricetulus_griseus_crigri_1.0 ENSCGRG00000015485
cricetulus_griseus_crigri-picr ENSCGRG00015005308
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023080
mesocricetus_auratus ENSMAUG00000011490
microtus_ochrogaster ENSMOCG00000000512
peromyscus_maniculatus_bairdii ENSPEMG00000001470
nannospalax_galili ENSNGAG00000015395
jaculus_jaculus ENSJJAG00000018093
castor_canadensis ENSCCNG00000030175
urocitellus_parryii ENSUPAG00010004776
spermophilus_dauricus ENSSDAG00000003648
marmota_marmota_marmota ENSMMMG00000022268
oryctolagus_cuniculus ENSOCUG00000027871
