spermophilus_dauricus ENSSDAG00000000923
urocitellus_parryii ENSUPAG00010019071
marmota_marmota_marmota ENSMMMG00000003292
fukomys_damarensis ENSFDAG00000014311
cricetulus_griseus_crigri-picr ENSCGRG00015016800
mesocricetus_auratus ENSMAUG00000008115
microtus_ochrogaster ENSMOCG00000012497
mus_spicilegus ENSMSIG00000025930
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017620
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000072673
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016777
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017914
panthera_tigris_altaica ENSPTIG00000005356
panthera_pardus ENSPPRG00000010489
felis_catus ENSFCAG00000041197
canis_lupus_dingo ENSCAFG00020011495
caenorhabditis_elegans_strain_n2 WBGene00021161
