anolis_carolinensis ENSACAG00000016836
pogona_vitticeps ENSPVIG00000014939
notechis_scutatus ENSNSUG00000001464
salvator_merianae ENSSMRG00000012240
sphenodon_punctatus ENSSPUG00000016402
apteryx_haastii ENSAHAG00000004323
apteryx_rowi ENSARWG00000013227
apteryx_owenii ENSAOWG00000003865
dromaius_novaehollandiae ENSDNVG00000004021
nothoprocta_perdicaria ENSNPEG00000012286
anser_brachyrhynchus ENSABRG00000016951
anas_platyrhynchos_platyrhynchos ENSAPLG00000010616
taeniopygia_guttata ENSTGUG00000003248
lonchura_striata_domestica ENSLSDG00000000687
junco_hyemalis ENSJHYG00000002384
zonotrichia_albicollis ENSZALG00000000919
serinus_canaria ENSSCAG00000006794
cyanistes_caeruleus ENSCCEG00000022506
parus_major ENSPMJG00000006497
ficedula_albicollis ENSFALG00000000096
lepidothrix_coronata ENSLCOG00000011621
manacus_vitellinus ENSMVIG00005001780
gallus_gallus ENSGALG00000029599
coturnix_japonica ENSCJPG00005017869
numida_meleagris ENSNMEG00000005219
melopsittacus_undulatus ENSMUNG00000001518
calidris_pygmaea ENSCPGG00000019034
calidris_pugnax ENSCPUG00000005556
crocodylus_porosus ENSCPRG00005001974
gopherus_agassizii ENSGAGG00000018239
chelonoidis_abingdonii ENSCABG00000009004
chrysemys_picta_bellii ENSCPBG00000019469
pelodiscus_sinensis ENSPSIG00000017901
oryctolagus_cuniculus ENSOCUG00000017934
ochotona_princeps ENSOPRG00000010116
meriones_unguiculatus ENSMUGG00000005399
procavia_capensis ENSPCAG00000003115
cricetulus_griseus_crigri_1.0 ENSCGRG00000000169
ornithorhynchus_anatinus ENSOANG00000011923
loxodonta_africana ENSLAFG00000003306
erinaceus_europaeus ENSEEUG00000013057
choloepus_hoffmanni ENSCHOG00000000325
dasypus_novemcinctus ENSDNOG00000018434
propithecus_coquereli ENSPCOG00000019221
prolemur_simus ENSPSMG00000012589
microcebus_murinus ENSMICG00000016804
otolemur_garnettii ENSOGAG00000029484
pan_troglodytes ENSPTRG00000004964
pan_paniscus ENSPPAG00000036987
homo_sapiens ENSG00000135503
gorilla_gorilla ENSGGOG00000006405
pongo_abelii ENSPPYG00000004535
nomascus_leucogenys ENSNLEG00000017765
chlorocebus_sabaeus ENSCSAG00000005829
mandrillus_leucophaeus ENSMLEG00000024751
papio_anubis ENSPANG00000013988
theropithecus_gelada ENSTGEG00000005560
cercocebus_atys ENSCATG00000038508
macaca_nemestrina ENSMNEG00000041904
macaca_mulatta ENSMMUG00000006200
macaca_fascicularis ENSMFAG00000031949
piliocolobus_tephrosceles ENSPTEG00000038624
colobus_angolensis_palliatus ENSCANG00000034693
rhinopithecus_roxellana ENSRROG00000033929
