octodon_degus ENSODEG00000005436
cavia_porcellus ENSCPOG00000021324
fukomys_damarensis ENSFDAG00000013930
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016012
microtus_ochrogaster ENSMOCG00000015447
mus_spicilegus ENSMSIG00000000468
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026770
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000023151
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025821
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0023944
rattus_norvegicus ENSRNOG00000006498
nannospalax_galili ENSNGAG00000012020
urocitellus_parryii ENSUPAG00010015366
spermophilus_dauricus ENSSDAG00000001564
pan_troglodytes ENSPTRG00000020414
pan_paniscus ENSPPAG00000006380
gorilla_gorilla ENSGGOG00000010204
microcebus_murinus ENSMICG00000027375
ovis_aries ENSOARG00000009869
capra_hircus ENSCHIG00000016924
sus_scrofa ENSSSCG00000039660
equus_caballus ENSECAG00000026869
equus_asinus_asinus ENSEASG00005014035
ursus_maritimus ENSUMAG00000015510
ailuropoda_melanoleuca ENSAMEG00000006987
neovison_vison ENSNVIG00000003020
mustela_putorius_furo ENSMPUG00000009160
vulpes_vulpes ENSVVUG00000002394
canis_lupus_dingo ENSCAFG00020012261
panthera_pardus ENSPPRG00000002332
panthera_tigris_altaica ENSPTIG00000013140
felis_catus ENSFCAG00000032433
dasypus_novemcinctus ENSDNOG00000024272
oryctolagus_cuniculus ENSOCUG00000028994
caenorhabditis_elegans_strain_n2 WBGene00002632
