pundamilia_nyererei ENSPNYG00000006546
haplochromis_burtoni ENSHBUG00000014569
amphilophus_citrinellus ENSACIG00000008069
cyprinodon_variegatus ENSCVAG00000009697
stegastes_partitus ENSSPAG00000000857
seriola_dumerili ENSSDUG00000011168
cynoglossus_semilaevis ENSCSEG00000005749
ictalurus_punctatus ENSIPUG00000008124
calidris_pygmaea ENSCPGG00000015799
melopsittacus_undulatus ENSMUNG00000012737
coturnix_japonica ENSCJPG00005010602
nothoprocta_perdicaria ENSNPEG00000004989
chelonoidis_abingdonii ENSCABG00000003465
notechis_scutatus ENSNSUG00000012461
colobus_angolensis_palliatus ENSCANG00000030025
ursus_americanus ENSUAMG00000022762
