meriones_unguiculatus ENSMUGG00000019343
castor_canadensis ENSCCNG00000018706
marmota_marmota_marmota ENSMMMG00000002801
macaca_fascicularis ENSMFAG00000044956
macaca_nemestrina ENSMNEG00000040182
macaca_mulatta ENSMMUG00000041058
papio_anubis ENSPANG00000035042
mandrillus_leucophaeus ENSMLEG00000038418
colobus_angolensis_palliatus ENSCANG00000040404
gorilla_gorilla ENSGGOG00000043276
gorilla_gorilla ENSGGOG00000037154
cebus_capucinus_imitator ENSCCAG00000030965
sus_scrofa ENSSSCG00000031644
capra_hircus ENSCHIG00000025243
felis_catus ENSFCAG00000041389
panthera_pardus ENSPPRG00000005329
