pan_troglodytes ENSPTRG00000008053
pan_paniscus ENSPPAG00000034052
homo_sapiens ENSG00000185947
gorilla_gorilla ENSGGOG00000043487
pongo_abelii ENSPPYG00000007703
nomascus_leucogenys ENSNLEG00000010489
rhinopithecus_roxellana ENSRROG00000041909
rhinopithecus_bieti ENSRBIG00000041970
piliocolobus_tephrosceles ENSPTEG00000028786
papio_anubis ENSPANG00000007017
theropithecus_gelada ENSTGEG00000009326
cercocebus_atys ENSCATG00000043308
mandrillus_leucophaeus ENSMLEG00000035033
macaca_nemestrina ENSMNEG00000032500
macaca_fascicularis ENSMFAG00000024474
macaca_mulatta ENSMMUG00000008253
chlorocebus_sabaeus ENSCSAG00000005600
cebus_capucinus_imitator ENSCCAG00000029096
saimiri_boliviensis_boliviensis ENSSBOG00000022153
callithrix_jacchus ENSCJAG00000040669
nomascus_leucogenys ENSNLEG00000006347
carlito_syrichta ENSTSYG00000010829
