caenorhabditis_elegans_strain_n2 WBGene00004507
drosophila_melanogaster FBgn0039911
gopherus_agassizii ENSGAGG00000011566
chelonoidis_abingdonii ENSCABG00000004050
chrysemys_picta_bellii ENSCPBG00000022911
pelodiscus_sinensis ENSPSIG00000004089
apteryx_owenii ENSAOWG00000017127
apteryx_haastii ENSAHAG00000017847
apteryx_rowi ENSARWG00000003536
dromaius_novaehollandiae ENSDNVG00000003875
nothoprocta_perdicaria ENSNPEG00000009424
calidris_pygmaea ENSCPGG00000015617
calidris_pugnax ENSCPUG00000012621
melopsittacus_undulatus ENSMUNG00000015013
lepidothrix_coronata ENSLCOG00000012902
manacus_vitellinus ENSMVIG00005008588
cyanistes_caeruleus ENSCCEG00000002408
ficedula_albicollis ENSFALG00000006401
taeniopygia_guttata ENSTGUG00000010393
taeniopygia_guttata ENSTGUG00000014199
lonchura_striata_domestica ENSLSDG00000014702
serinus_canaria ENSSCAG00000003388
junco_hyemalis ENSJHYG00000010571
zonotrichia_albicollis ENSZALG00000013559
anser_brachyrhynchus ENSABRG00000017555
anas_platyrhynchos_platyrhynchos ENSAPLG00000008323
gallus_gallus ENSGALG00000008100
coturnix_japonica ENSCJPG00005010842
meleagris_gallopavo ENSMGAG00000010605
anolis_carolinensis ENSACAG00000002242
pogona_vitticeps ENSPVIG00000022133
notechis_scutatus ENSNSUG00000017715
salvator_merianae ENSSMRG00000006301
sphenodon_punctatus ENSSPUG00000004202
phascolarctos_cinereus ENSPCIG00000022952
notamacropus_eugenii ENSMEUG00000014612
sarcophilus_harrisii ENSSHAG00000017408
oryctolagus_cuniculus ENSOCUG00000008892
dasypus_novemcinctus ENSDNOG00000040969
ovis_aries ENSOARG00000006810
echinops_telfairi ENSETEG00000002483
microcebus_murinus ENSMICG00000007148
propithecus_coquereli ENSPCOG00000019055
prolemur_simus ENSPSMG00000020171
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024860
mus_spicilegus ENSMSIG00000027530
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000002104
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023950
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0025386
rattus_norvegicus ENSRNOG00000011208
meriones_unguiculatus ENSMUGG00000014495
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001009650
cricetulus_griseus_crigri_1.0 ENSCGRG00000011295
cricetulus_griseus_crigri-picr ENSCGRG00015021971
mesocricetus_auratus ENSMAUG00000008690
microtus_ochrogaster ENSMOCG00000012267
peromyscus_maniculatus_bairdii ENSPEMG00000016952
nannospalax_galili ENSNGAG00000007295
jaculus_jaculus ENSJJAG00000020297
urocitellus_parryii ENSUPAG00010013926
ictidomys_tridecemlineatus ENSSTOG00000011047
spermophilus_dauricus ENSSDAG00000007388
marmota_marmota_marmota ENSMMMG00000015294
chinchilla_lanigera ENSCLAG00000015497
octodon_degus ENSODEG00000015194
cavia_porcellus ENSCPOG00000015456
cavia_aperea ENSCAPG00000000076
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100017226
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008521
fukomys_damarensis ENSFDAG00000012023
castor_canadensis ENSCCNG00000020904
dipodomys_ordii ENSDORG00000000757
equus_caballus ENSECAG00000003289
equus_asinus_asinus ENSEASG00005010830
erinaceus_europaeus ENSEEUG00000000819
sorex_araneus ENSSARG00000007666
myotis_lucifugus ENSMLUG00000016626
mustela_putorius_furo ENSMPUG00000003974
neovison_vison ENSNVIG00000010353
canis_lupus_familiaris ENSCAFG00000008690
canis_lupus_dingo ENSCAFG00020025481
vulpes_vulpes ENSVVUG00000023449
ursus_americanus ENSUAMG00000005314
ursus_maritimus ENSUMAG00000009220
ailuropoda_melanoleuca ENSAMEG00000007575
panthera_pardus ENSPPRG00000004770
panthera_tigris_altaica ENSPTIG00000000869
felis_catus ENSFCAG00000002534
tursiops_truncatus ENSTTRG00000014156
carlito_syrichta ENSTSYG00000029702
otolemur_garnettii ENSOGAG00000027783
tupaia_belangeri ENSTBEG00000015889
ochotona_princeps ENSOPRG00000013657
bos_mutus ENSBMUG00000024536
bos_taurus ENSBTAG00000021745
bison_bison_bison ENSBBBG00000002335
capra_hircus ENSCHIG00000015950
vicugna_pacos ENSVPAG00000000335
pteropus_vampyrus ENSPVAG00000007339
pan_paniscus ENSPPAG00000042512
pan_troglodytes ENSPTRG00000003567
gorilla_gorilla ENSGGOG00000007325
homo_sapiens ENSG00000165917
pongo_abelii ENSPPYG00000003303
nomascus_leucogenys ENSNLEG00000014627
rhinopithecus_roxellana ENSRROG00000040174
rhinopithecus_bieti ENSRBIG00000031212
colobus_angolensis_palliatus ENSCANG00000040798
macaca_nemestrina ENSMNEG00000029367
macaca_mulatta ENSMMUG00000009498
macaca_fascicularis ENSMFAG00000037957
cercocebus_atys ENSCATG00000043406
theropithecus_gelada ENSTGEG00000024865
papio_anubis ENSPANG00000004124
mandrillus_leucophaeus ENSMLEG00000037859
chlorocebus_sabaeus ENSCSAG00000005780
callithrix_jacchus ENSCJAG00000020129
saimiri_boliviensis_boliviensis ENSSBOG00000022262
cebus_capucinus_imitator ENSCCAG00000022014
aotus_nancymaae ENSANAG00000022248
carlito_syrichta ENSTSYG00000011543
