panthera_tigris_altaica ENSPTIG00000001966
panthera_pardus ENSPPRG00000017056
canis_lupus_dingo ENSCAFG00020018025
sus_scrofa ENSSSCG00000035844
pan_troglodytes ENSPTRG00000052402
pan_paniscus ENSPPAG00000042667
gorilla_gorilla ENSGGOG00000040795
nomascus_leucogenys ENSNLEG00000034112
mandrillus_leucophaeus ENSMLEG00000000428
macaca_fascicularis ENSMFAG00000013176
theropithecus_gelada ENSTGEG00000014697
papio_anubis ENSPANG00000033572
piliocolobus_tephrosceles ENSPTEG00000011987
cebus_capucinus_imitator ENSCCAG00000031561
saimiri_boliviensis_boliviensis ENSSBOG00000020755
spermophilus_dauricus ENSSDAG00000006497
