equus_asinus_asinus ENSEASG00005019742
equus_caballus ENSECAG00000023740
erinaceus_europaeus ENSEEUG00000002470
tupaia_belangeri ENSTBEG00000011468
castor_canadensis ENSCCNG00000031549
dipodomys_ordii ENSDORG00000013469
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015442
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000041926
mus_spicilegus ENSMSIG00000016833
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014635
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027871
rattus_norvegicus ENSRNOG00000006720
meriones_unguiculatus ENSMUGG00000008136
peromyscus_maniculatus_bairdii ENSPEMG00000009590
microtus_ochrogaster ENSMOCG00000022091
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019333
cricetulus_griseus_crigri_1.0 ENSCGRG00000011380
cricetulus_griseus_crigri-picr ENSCGRG00015024718
mesocricetus_auratus ENSMAUG00000008745
nannospalax_galili ENSNGAG00000023647
jaculus_jaculus ENSJJAG00000017365
ictidomys_tridecemlineatus ENSSTOG00000009813
urocitellus_parryii ENSUPAG00010008733
marmota_marmota_marmota ENSMMMG00000012694
spermophilus_dauricus ENSSDAG00000004865
oryctolagus_cuniculus ENSOCUG00000022087
ochotona_princeps ENSOPRG00000007833
pan_paniscus ENSPPAG00000038397
pan_troglodytes ENSPTRG00000001843
homo_sapiens ENSG00000176393
gorilla_gorilla ENSGGOG00000014172
pongo_abelii ENSPPYG00000000355
nomascus_leucogenys ENSNLEG00000018090
piliocolobus_tephrosceles ENSPTEG00000027692
colobus_angolensis_palliatus ENSCANG00000031043
rhinopithecus_bieti ENSRBIG00000040090
rhinopithecus_roxellana ENSRROG00000043437
papio_anubis ENSPANG00000013414
cercocebus_atys ENSCATG00000028344
macaca_mulatta ENSMMUG00000001926
macaca_fascicularis ENSMFAG00000001997
macaca_nemestrina ENSMNEG00000034207
mandrillus_leucophaeus ENSMLEG00000037728
theropithecus_gelada ENSTGEG00000020153
chlorocebus_sabaeus ENSCSAG00000014067
cebus_capucinus_imitator ENSCCAG00000032153
saimiri_boliviensis_boliviensis ENSSBOG00000028407
callithrix_jacchus ENSCJAG00000005745
aotus_nancymaae ENSANAG00000036242
carlito_syrichta ENSTSYG00000029079
propithecus_coquereli ENSPCOG00000013447
microcebus_murinus ENSMICG00000003151
prolemur_simus ENSPSMG00000000549
otolemur_garnettii ENSOGAG00000004795
ursus_americanus ENSUAMG00000020353
ursus_maritimus ENSUMAG00000004166
ailuropoda_melanoleuca ENSAMEG00000012001
mustela_putorius_furo ENSMPUG00000010929
neovison_vison ENSNVIG00000014525
canis_lupus_dingo ENSCAFG00020016176
canis_lupus_familiaris ENSCAFG00000010545
vulpes_vulpes ENSVVUG00000006350
panthera_pardus ENSPPRG00000004693
panthera_tigris_altaica ENSPTIG00000015788
felis_catus ENSFCAG00000000448
bos_taurus ENSBTAG00000013726
bos_mutus ENSBMUG00000018272
bison_bison_bison ENSBBBG00000009257
capra_hircus ENSCHIG00000020776
ovis_aries ENSOARG00000000341
tursiops_truncatus ENSTTRG00000005974
sus_scrofa ENSSSCG00000034151
vicugna_pacos ENSVPAG00000003022
myotis_lucifugus ENSMLUG00000015116
pteropus_vampyrus ENSPVAG00000016211
chinchilla_lanigera ENSCLAG00000010340
octodon_degus ENSODEG00000012490
cavia_porcellus ENSCPOG00000002589
cavia_aperea ENSCAPG00000010633
fukomys_damarensis ENSFDAG00000010145
dasypus_novemcinctus ENSDNOG00000013077
choloepus_hoffmanni ENSCHOG00000003326
procavia_capensis ENSPCAG00000012106
echinops_telfairi ENSETEG00000011492
echinops_telfairi ENSETEG00000008212
loxodonta_africana ENSLAFG00000017697
phascolarctos_cinereus ENSPCIG00000025385
notamacropus_eugenii ENSMEUG00000005873
sarcophilus_harrisii ENSSHAG00000011469
monodelphis_domestica ENSMODG00000000527
ornithorhynchus_anatinus ENSOANG00000021673
gallus_gallus ENSGALG00000000374
meleagris_gallopavo ENSMGAG00000001520
coturnix_japonica ENSCJPG00005007249
numida_meleagris ENSNMEG00000008761
anser_brachyrhynchus ENSABRG00000017816
taeniopygia_guttata ENSTGUG00000001290
lonchura_striata_domestica ENSLSDG00000012747
junco_hyemalis ENSJHYG00000012898
ficedula_albicollis ENSFALG00000002569
zonotrichia_albicollis ENSZALG00000015515
serinus_canaria ENSSCAG00000006683
parus_major ENSPMJG00000006695
cyanistes_caeruleus ENSCCEG00000021142
lepidothrix_coronata ENSLCOG00000005847
manacus_vitellinus ENSMVIG00005012239
calidris_pugnax ENSCPUG00000017486
calidris_pygmaea ENSCPGG00000010250
melopsittacus_undulatus ENSMUNG00000010031
apteryx_haastii ENSAHAG00000008601
apteryx_owenii ENSAOWG00000011786
apteryx_rowi ENSARWG00000006423
dromaius_novaehollandiae ENSDNVG00000018632
nothoprocta_perdicaria ENSNPEG00000001103
crocodylus_porosus ENSCPRG00005006274
gopherus_agassizii ENSGAGG00000013462
chelonoidis_abingdonii ENSCABG00000016399
chrysemys_picta_bellii ENSCPBG00000010163
pelodiscus_sinensis ENSPSIG00000010050
pogona_vitticeps ENSPVIG00000007647
anolis_carolinensis ENSACAG00000004050
salvator_merianae ENSSMRG00000003643
notechis_scutatus ENSNSUG00000002228
sphenodon_punctatus ENSSPUG00000008150
xenopus_tropicalis ENSXETG00000000963
latimeria_chalumnae ENSLACG00000011104
pygocentrus_nattereri ENSPNAG00000015194
astyanax_mexicanus ENSAMXG00000024736
danio_rerio ENSDARG00000012506
esox_lucius ENSELUG00000021950
paramormyrops_kingsleyae ENSPKIG00000017676
lepisosteus_oculatus ENSLOCG00000010074
eptatretus_burgeri ENSEBUG00000010565
