neolamprologus_brichardi ENSNBRG00000007703
pundamilia_nyererei ENSPNYG00000001964
kryptolebias_marmoratus ENSKMAG00000009148
poecilia_mexicana ENSPMEG00000012266
poecilia_reticulata ENSPREG00000006865
stegastes_partitus ENSSPAG00000002603
xiphophorus_maculatus ENSXMAG00000021521
oryzias_melastigma ENSOMEG00000000083
amphiprion_ocellaris ENSAOCG00000015807
stegastes_partitus ENSSPAG00000010130
fundulus_heteroclitus ENSFHEG00000010394
xiphophorus_maculatus ENSXMAG00000023389
xiphophorus_couchianus ENSXCOG00000002962
poecilia_latipinna ENSPLAG00000022078
fundulus_heteroclitus ENSFHEG00000010367
xiphophorus_maculatus ENSXMAG00000029330
gambusia_affinis ENSGAFG00000015527
oryzias_latipes_asm223469v1 ENSORLG00015021231
oryzias_latipes_asm223467v1 ENSORLG00000030495
oryzias_latipes_asm223471v1 ENSORLG00020014584
oryzias_melastigma ENSOMEG00000003771
scophthalmus_maximus ENSSMAG00000016131
monopterus_albus ENSMALG00000006612
esox_lucius ENSELUG00000018199
