monodelphis_domestica ENSMODG00000016927
phascolarctos_cinereus ENSPCIG00000000874
castor_canadensis ENSCCNG00000015303
cricetulus_griseus_crigri-picr ENSCGRG00015017490
bos_taurus ENSBTAG00000053940
capra_hircus ENSCHIG00000025112
lepidothrix_coronata ENSLCOG00000010639
parus_major ENSPMJG00000017550
junco_hyemalis ENSJHYG00000004300
anas_platyrhynchos_platyrhynchos ENSAPLG00000028034
calidris_pygmaea ENSCPGG00000001025
dromaius_novaehollandiae ENSDNVG00000013298
crocodylus_porosus ENSCPRG00005015029
gopherus_agassizii ENSGAGG00000013347
chelonoidis_abingdonii ENSCABG00000020950
chrysemys_picta_bellii ENSCPBG00000021055
salvator_merianae ENSSMRG00000008883
notechis_scutatus ENSNSUG00000000228
sphenodon_punctatus ENSSPUG00000004986
