bison_bison_bison ENSBBBG00000016290
bos_mutus ENSBMUG00000010963
ovis_aries ENSOARG00000014920
capra_hircus ENSCHIG00000011354
bos_taurus ENSBTAG00000048204
vicugna_pacos ENSVPAG00000011668
sus_scrofa ENSSSCG00000003238
equus_asinus_asinus ENSEASG00005008556
equus_caballus ENSECAG00000006938
ursus_maritimus ENSUMAG00000010322
ursus_americanus ENSUAMG00000026286
ailuropoda_melanoleuca ENSAMEG00000014431
neovison_vison ENSNVIG00000023077
mustela_putorius_furo ENSMPUG00000002750
canis_lupus_familiaris ENSCAFG00000002820
canis_lupus_dingo ENSCAFG00020019110
vulpes_vulpes ENSVVUG00000011173
panthera_tigris_altaica ENSPTIG00000012550
panthera_pardus ENSPPRG00000001978
felis_catus ENSFCAG00000018797
pteropus_vampyrus ENSPVAG00000004137
pteropus_vampyrus ENSPVAG00000001413
homo_sapiens ENSG00000182310
gorilla_gorilla ENSGGOG00000026823
pan_paniscus ENSPPAG00000042668
pan_troglodytes ENSPTRG00000046520
pongo_abelii ENSPPYG00000010326
nomascus_leucogenys ENSNLEG00000005956
cercocebus_atys ENSCATG00000032617
mandrillus_leucophaeus ENSMLEG00000031482
macaca_mulatta ENSMMUG00000013053
macaca_fascicularis ENSMFAG00000030685
macaca_nemestrina ENSMNEG00000039871
theropithecus_gelada ENSTGEG00000004143
papio_anubis ENSPANG00000014528
rhinopithecus_bieti ENSRBIG00000038814
rhinopithecus_roxellana ENSRROG00000029641
piliocolobus_tephrosceles ENSPTEG00000024323
colobus_angolensis_palliatus ENSCANG00000042541
cebus_capucinus_imitator ENSCCAG00000028070
saimiri_boliviensis_boliviensis ENSSBOG00000029090
callithrix_jacchus ENSCJAG00000002103
aotus_nancymaae ENSANAG00000025965
carlito_syrichta ENSTSYG00000032274
propithecus_coquereli ENSPCOG00000008306
prolemur_simus ENSPSMG00000026065
microcebus_murinus ENSMICG00000042174
castor_canadensis ENSCCNG00000005080
dipodomys_ordii ENSDORG00000012529
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001008495
cricetulus_griseus_crigri-picr ENSCGRG00015016009
mesocricetus_auratus ENSMAUG00000003906
microtus_ochrogaster ENSMOCG00000000438
peromyscus_maniculatus_bairdii ENSPEMG00000011711
mus_spicilegus ENSMSIG00000029585
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022005
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000080316
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021104
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0023418
rattus_norvegicus ENSRNOG00000039076
meriones_unguiculatus ENSMUGG00000024698
jaculus_jaculus ENSJJAG00000021754
cavia_porcellus ENSCPOG00000040279
cavia_aperea ENSCAPG00000005060
octodon_degus ENSODEG00000001402
chinchilla_lanigera ENSCLAG00000002583
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000005223
urocitellus_parryii ENSUPAG00010008622
oryctolagus_cuniculus ENSOCUG00000025169
loxodonta_africana ENSLAFG00000020527
procavia_capensis ENSPCAG00000013319
dasypus_novemcinctus ENSDNOG00000045641
dasypus_novemcinctus ENSDNOG00000041038
phascolarctos_cinereus ENSPCIG00000011105
notamacropus_eugenii ENSMEUG00000001864
sarcophilus_harrisii ENSSHAG00000002749
monodelphis_domestica ENSMODG00000020826
