sarcophilus_harrisii ENSSHAG00000005916
monodelphis_domestica ENSMODG00000024322
phascolarctos_cinereus ENSPCIG00000036640
monodelphis_domestica ENSMODG00000025541
phascolarctos_cinereus ENSPCIG00000018851
phascolarctos_cinereus ENSPCIG00000032676
monodelphis_domestica ENSMODG00000024320
monodelphis_domestica ENSMODG00000024319
monodelphis_domestica ENSMODG00000024318
notamacropus_eugenii ENSMEUG00000009242
notamacropus_eugenii ENSMEUG00000006708
phascolarctos_cinereus ENSPCIG00000034155
vicugna_pacos ENSVPAG00000001265
sus_scrofa ENSSSCG00000005808
bos_taurus ENSBTAG00000035985
bos_taurus ENSBTAG00000035029
bos_mutus ENSBMUG00000017418
bos_mutus ENSBMUG00000010080
bison_bison_bison ENSBBBG00000016659
ovis_aries ENSOARG00000011900
capra_hircus ENSCHIG00000008567
equus_asinus_asinus ENSEASG00005005651
equus_caballus ENSECAG00000039208
equus_caballus ENSECAG00000006862
ailuropoda_melanoleuca ENSAMEG00000018505
ursus_maritimus ENSUMAG00000018117
mustela_putorius_furo ENSMPUG00000018518
neovison_vison ENSNVIG00000024750
canis_lupus_familiaris ENSCAFG00000028823
canis_lupus_dingo ENSCAFG00020025893
vulpes_vulpes ENSVVUG00000017397
panthera_pardus ENSPPRG00000018950
panthera_tigris_altaica ENSPTIG00000010485
felis_catus ENSFCAG00000002461
myotis_lucifugus ENSMLUG00000006460
ictidomys_tridecemlineatus ENSSTOG00000006757
urocitellus_parryii ENSUPAG00010003432
spermophilus_dauricus ENSSDAG00000021285
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001001112
cricetulus_griseus_crigri-picr ENSCGRG00015024030
cricetulus_griseus_crigri_1.0 ENSCGRG00000019271
mesocricetus_auratus ENSMAUG00000012307
peromyscus_maniculatus_bairdii ENSPEMG00000009588
mus_spicilegus ENSMSIG00000027580
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024700
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000075197
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023784
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0025233
