xiphophorus_couchianus ENSXCOG00000000390
xiphophorus_maculatus ENSXMAG00000017816
poecilia_formosa ENSPFOG00000017002
poecilia_mexicana ENSPMEG00000001606
poecilia_latipinna ENSPLAG00000021426
gambusia_affinis ENSGAFG00000013746
poecilia_reticulata ENSPREG00000013905
cyprinodon_variegatus ENSCVAG00000021455
fundulus_heteroclitus ENSFHEG00000011636
kryptolebias_marmoratus ENSKMAG00000015023
oryzias_melastigma ENSOMEG00000023046
oryzias_latipes_asm223467v1 ENSORLG00000018719
mola_mola ENSMMOG00000015883
tetraodon_nigroviridis ENSTNIG00000003889
seriola_dumerili ENSSDUG00000008322
seriola_lalandi_dorsalis ENSSLDG00000007392
mastacembelus_armatus ENSMAMG00000019668
labrus_bergylta ENSLBEG00000027255
labrus_bergylta ENSLBEG00000002631
pundamilia_nyererei ENSPNYG00000001169
haplochromis_burtoni ENSHBUG00000004448
maylandia_zebra ENSMZEG00005012935
astatotilapia_calliptera ENSACLG00000006156
neolamprologus_brichardi ENSNBRG00000008933
oreochromis_niloticus ENSONIG00000018690
amphilophus_citrinellus ENSACIG00000014948
amphiprion_ocellaris ENSAOCG00000015082
amphiprion_percula ENSAPEG00000014218
acanthochromis_polyacanthus ENSAPOG00000002318
gasterosteus_aculeatus ENSGACG00000011984
takifugu_rubripes ENSTRUG00000015928
monopterus_albus ENSMALG00000004087
anabas_testudineus ENSATEG00000000377
hippocampus_comes ENSHCOG00000012365
periophthalmus_magnuspinnatus ENSPMGG00000007816
gadus_morhua ENSGMOG00000020007
scophthalmus_maximus ENSSMAG00000007335
cynoglossus_semilaevis ENSCSEG00000005791
stegastes_partitus ENSSPAG00000021196
anser_brachyrhynchus ENSABRG00000011371
lonchura_striata_domestica ENSLSDG00000003063
meriones_unguiculatus ENSMUGG00000006517
pygocentrus_nattereri ENSPNAG00000027624
astyanax_mexicanus ENSAMXG00000033511
ictalurus_punctatus ENSIPUG00000001835
danio_rerio ENSDARG00000007171
esox_lucius ENSELUG00000023576
scleropages_formosus ENSSFOG00015014475
paramormyrops_kingsleyae ENSPKIG00000001904
lepisosteus_oculatus ENSLOCG00000000675
xenopus_tropicalis ENSXETG00000009792
xenopus_tropicalis ENSXETG00000033995
gopherus_agassizii ENSGAGG00000015499
chelonoidis_abingdonii ENSCABG00000020090
chrysemys_picta_bellii ENSCPBG00000017164
pelodiscus_sinensis ENSPSIG00000008986
sphenodon_punctatus ENSSPUG00000005005
apteryx_owenii ENSAOWG00000015431
apteryx_haastii ENSAHAG00000000884
apteryx_rowi ENSARWG00000009292
dromaius_novaehollandiae ENSDNVG00000008370
nothoprocta_perdicaria ENSNPEG00000008048
gallus_gallus ENSGALG00000013780
coturnix_japonica ENSCJPG00005008694
meleagris_gallopavo ENSMGAG00000012935
numida_meleagris ENSNMEG00000021965
anas_platyrhynchos_platyrhynchos ENSAPLG00000009304
calidris_pygmaea ENSCPGG00000014823
melopsittacus_undulatus ENSMUNG00000004896
serinus_canaria ENSSCAG00000014346
junco_hyemalis ENSJHYG00000016168
taeniopygia_guttata ENSTGUG00000010986
parus_major ENSPMJG00000008423
ficedula_albicollis ENSFALG00000012736
lepidothrix_coronata ENSLCOG00000003577
zonotrichia_albicollis ENSZALG00000009327
cyanistes_caeruleus ENSCCEG00000013541
manacus_vitellinus ENSMVIG00005017005
calidris_pugnax ENSCPUG00000004397
crocodylus_porosus ENSCPRG00005001042
pogona_vitticeps ENSPVIG00000012892
anolis_carolinensis ENSACAG00000008183
notechis_scutatus ENSNSUG00000010383
salvator_merianae ENSSMRG00000000264
notamacropus_eugenii ENSMEUG00000002988
phascolarctos_cinereus ENSPCIG00000011301
sarcophilus_harrisii ENSSHAG00000011239
monodelphis_domestica ENSMODG00000017267
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015936
mus_spicilegus ENSMSIG00000016030
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000019806
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015128
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0023747
rattus_norvegicus ENSRNOG00000010753
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001003527
cricetulus_griseus_crigri_1.0 ENSCGRG00000002800
cricetulus_griseus_crigri-picr ENSCGRG00015021725
mesocricetus_auratus ENSMAUG00000008262
peromyscus_maniculatus_bairdii ENSPEMG00000000029
microtus_ochrogaster ENSMOCG00000015327
nannospalax_galili ENSNGAG00000009899
jaculus_jaculus ENSJJAG00000003640
ictidomys_tridecemlineatus ENSSTOG00000012815
marmota_marmota_marmota ENSMMMG00000000938
spermophilus_dauricus ENSSDAG00000020234
urocitellus_parryii ENSUPAG00010019630
cavia_aperea ENSCAPG00000014470
cavia_porcellus ENSCPOG00000038462
chinchilla_lanigera ENSCLAG00000013245
octodon_degus ENSODEG00000007397
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000015304
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100008278
fukomys_damarensis ENSFDAG00000016736
dipodomys_ordii ENSDORG00000001147
oryctolagus_cuniculus ENSOCUG00000003607
ochotona_princeps ENSOPRG00000014195
propithecus_coquereli ENSPCOG00000021161
microcebus_murinus ENSMICG00000013596
prolemur_simus ENSPSMG00000004490
otolemur_garnettii ENSOGAG00000017075
bos_mutus ENSBMUG00000020596
erinaceus_europaeus ENSEEUG00000012289
callithrix_jacchus ENSCJAG00000019215
saimiri_boliviensis_boliviensis ENSSBOG00000018253
cebus_capucinus_imitator ENSCCAG00000033986
aotus_nancymaae ENSANAG00000024974
colobus_angolensis_palliatus ENSCANG00000034131
rhinopithecus_roxellana ENSRROG00000029524
macaca_mulatta ENSMMUG00000006430
macaca_nemestrina ENSMNEG00000034575
macaca_fascicularis ENSMFAG00000015355
mandrillus_leucophaeus ENSMLEG00000004415
pan_paniscus ENSPPAG00000028952
pan_troglodytes ENSPTRG00000018666
gorilla_gorilla ENSGGOG00000003361
nomascus_leucogenys ENSNLEG00000015073
homo_sapiens ENSG00000146416
pongo_abelii ENSPPYG00000017058
theropithecus_gelada ENSTGEG00000018154
papio_anubis ENSPANG00000014550
cercocebus_atys ENSCATG00000042267
piliocolobus_tephrosceles ENSPTEG00000027192
carlito_syrichta ENSTSYG00000031028
tupaia_belangeri ENSTBEG00000006855
panthera_pardus ENSPPRG00000013532
panthera_tigris_altaica ENSPTIG00000016648
felis_catus ENSFCAG00000005364
ailuropoda_melanoleuca ENSAMEG00000011639
neovison_vison ENSNVIG00000021193
mustela_putorius_furo ENSMPUG00000018043
canis_lupus_familiaris ENSCAFG00000000303
canis_lupus_dingo ENSCAFG00020023032
vulpes_vulpes ENSVVUG00000004614
equus_caballus ENSECAG00000008340
equus_asinus_asinus ENSEASG00005009531
bos_taurus ENSBTAG00000003496
bos_mutus ENSBMUG00000007681
ovis_aries ENSOARG00000001530
capra_hircus ENSCHIG00000012210
bison_bison_bison ENSBBBG00000022165
tursiops_truncatus ENSTTRG00000015018
sus_scrofa ENSSSCG00000004136
pteropus_vampyrus ENSPVAG00000004426
