astatotilapia_calliptera ENSACLG00000016693
haplochromis_burtoni ENSHBUG00000008280
pundamilia_nyererei ENSPNYG00000022180
maylandia_zebra ENSMZEG00005023516
oreochromis_niloticus ENSONIG00000016517
oryzias_melastigma ENSOMEG00000013943
oryzias_melastigma ENSOMEG00000014900
monopterus_albus ENSMALG00000008393
scophthalmus_maximus ENSSMAG00000018765
mastacembelus_armatus ENSMAMG00000005783
anabas_testudineus ENSATEG00000024574
seriola_lalandi_dorsalis ENSSLDG00000004044
seriola_dumerili ENSSDUG00000005345
amphiprion_percula ENSAPEG00000002085
amphiprion_ocellaris ENSAOCG00000013045
acanthochromis_polyacanthus ENSAPOG00000020573
stegastes_partitus ENSSPAG00000002852
labrus_bergylta ENSLBEG00000024846
mola_mola ENSMMOG00000013250
esox_lucius ENSELUG00000006594
pygocentrus_nattereri ENSPNAG00000019374
astyanax_mexicanus ENSAMXG00000031382
ictalurus_punctatus ENSIPUG00000021413
danio_rerio ENSDARG00000030650
paramormyrops_kingsleyae ENSPKIG00000011447
scleropages_formosus ENSSFOG00015000276
lepisosteus_oculatus ENSLOCG00000001982
chelonoidis_abingdonii ENSCABG00000019948
gopherus_agassizii ENSGAGG00000021829
chrysemys_picta_bellii ENSCPBG00000026773
pelodiscus_sinensis ENSPSIG00000012601
crocodylus_porosus ENSCPRG00005011709
pogona_vitticeps ENSPVIG00000023648
anolis_carolinensis ENSACAG00000016782
notechis_scutatus ENSNSUG00000014719
salvator_merianae ENSSMRG00000005864
sphenodon_punctatus ENSSPUG00000013857
apteryx_haastii ENSAHAG00000000559
apteryx_owenii ENSAOWG00000004464
apteryx_rowi ENSARWG00000001561
dromaius_novaehollandiae ENSDNVG00000000692
nothoprocta_perdicaria ENSNPEG00000011131
taeniopygia_guttata ENSTGUG00000005308
lonchura_striata_domestica ENSLSDG00000014139
serinus_canaria ENSSCAG00000012931
junco_hyemalis ENSJHYG00000002495
zonotrichia_albicollis ENSZALG00000005012
parus_major ENSPMJG00000004274
cyanistes_caeruleus ENSCCEG00000005562
ficedula_albicollis ENSFALG00000005242
lepidothrix_coronata ENSLCOG00000009456
manacus_vitellinus ENSMVIG00005007530
melopsittacus_undulatus ENSMUNG00000006154
calidris_pugnax ENSCPUG00000002913
calidris_pygmaea ENSCPGG00000009783
anas_platyrhynchos_platyrhynchos ENSAPLG00000017051
anser_brachyrhynchus ENSABRG00000018961
coturnix_japonica ENSCJPG00005001021
meleagris_gallopavo ENSMGAG00000004016
gallus_gallus ENSGALG00000046204
numida_meleagris ENSNMEG00000015942
loxodonta_africana ENSLAFG00000015610
procavia_capensis ENSPCAG00000000978
echinops_telfairi ENSETEG00000012722
equus_asinus_asinus ENSEASG00005023418
equus_caballus ENSECAG00000023872
pteropus_vampyrus ENSPVAG00000007419
bos_taurus ENSBTAG00000013220
bos_mutus ENSBMUG00000002454
bison_bison_bison ENSBBBG00000000061
