crocodylus_porosus ENSCPRG00005006432
notechis_scutatus ENSNSUG00000007956
notamacropus_eugenii ENSMEUG00000012727
phascolarctos_cinereus ENSPCIG00000033739
sarcophilus_harrisii ENSSHAG00000009398
monodelphis_domestica ENSMODG00000017370
vicugna_pacos ENSVPAG00000008563
vulpes_vulpes ENSVVUG00000002030
erinaceus_europaeus ENSEEUG00000011831
equus_caballus ENSECAG00000016413
equus_asinus_asinus ENSEASG00005020876
sorex_araneus ENSSARG00000008284
vulpes_vulpes ENSVVUG00000019126
canis_lupus_dingo ENSCAFG00020002340
canis_lupus_familiaris ENSCAFG00000011602
ursus_maritimus ENSUMAG00000005104
ursus_americanus ENSUAMG00000007983
ailuropoda_melanoleuca ENSAMEG00000010171
mustela_putorius_furo ENSMPUG00000002517
panthera_pardus ENSPPRG00000023933
panthera_tigris_altaica ENSPTIG00000018711
felis_catus ENSFCAG00000023640
ursus_americanus ENSUAMG00000000240
panthera_tigris_altaica ENSPTIG00000003315
sus_scrofa ENSSSCG00000012113
sus_scrofa ENSSSCG00000031650
tursiops_truncatus ENSTTRG00000005725
ovis_aries ENSOARG00000010966
capra_hircus ENSCHIG00000007755
capra_hircus ENSCHIG00000017454
bison_bison_bison ENSBBBG00000005619
bos_taurus ENSBTAG00000012089
pteropus_vampyrus ENSPVAG00000004998
rhinopithecus_bieti ENSRBIG00000040414
rhinopithecus_roxellana ENSRROG00000038610
piliocolobus_tephrosceles ENSPTEG00000032709
colobus_angolensis_palliatus ENSCANG00000027475
mandrillus_leucophaeus ENSMLEG00000042893
chlorocebus_sabaeus ENSCSAG00000015206
theropithecus_gelada ENSTGEG00000014645
macaca_mulatta ENSMMUG00000008256
pan_troglodytes ENSPTRG00000021659
pan_paniscus ENSPPAG00000027973
gorilla_gorilla ENSGGOG00000027601
homo_sapiens ENSG00000125363
pongo_abelii ENSPPYG00000020122
nomascus_leucogenys ENSNLEG00000009032
saimiri_boliviensis_boliviensis ENSSBOG00000033200
callithrix_jacchus ENSCJAG00000001049
carlito_syrichta ENSTSYG00000025634
prolemur_simus ENSPSMG00000021129
prolemur_simus ENSPSMG00000022033
microcebus_murinus ENSMICG00000034215
otolemur_garnettii ENSOGAG00000034697
tupaia_belangeri ENSTBEG00000003541
cricetulus_griseus_crigri_1.0 ENSCGRG00000014733
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012377
cricetulus_griseus_crigri-picr ENSCGRG00015013840
mesocricetus_auratus ENSMAUG00000011412
microtus_ochrogaster ENSMOCG00000018778
peromyscus_maniculatus_bairdii ENSPEMG00000009304
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033583
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000031354
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034752
mus_spicilegus ENSMSIG00000023608
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0032122
rattus_norvegicus ENSRNOG00000003965
meriones_unguiculatus ENSMUGG00000011565
nannospalax_galili ENSNGAG00000017982
jaculus_jaculus ENSJJAG00000012298
fukomys_damarensis ENSFDAG00000001414
fukomys_damarensis ENSFDAG00000001821
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009327
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100013163
octodon_degus ENSODEG00000005133
chinchilla_lanigera ENSCLAG00000000447
urocitellus_parryii ENSUPAG00010003048
urocitellus_parryii ENSUPAG00010020164
ictidomys_tridecemlineatus ENSSTOG00000003779
spermophilus_dauricus ENSSDAG00000004803
marmota_marmota_marmota ENSMMMG00000004141
castor_canadensis ENSCCNG00000016717
dipodomys_ordii ENSDORG00000007118
dasypus_novemcinctus ENSDNOG00000031324
choloepus_hoffmanni ENSCHOG00000006285
procavia_capensis ENSPCAG00000007897
loxodonta_africana ENSLAFG00000004777
echinops_telfairi ENSETEG00000009388
ornithorhynchus_anatinus ENSOANG00000002624
xenopus_tropicalis ENSXETG00000005343
