sphenodon_punctatus ENSSPUG00000001407
xenopus_tropicalis ENSXETG00000018076
ficedula_albicollis ENSFALG00000014470
parus_major ENSPMJG00000003105
junco_hyemalis ENSJHYG00000011209
taeniopygia_guttata ENSTGUG00000017402
calidris_pugnax ENSCPUG00000008623
melopsittacus_undulatus ENSMUNG00000007289
anser_brachyrhynchus ENSABRG00000004092
anas_platyrhynchos_platyrhynchos ENSAPLG00000023696
meleagris_gallopavo ENSMGAG00000006035
gallus_gallus ENSGALG00000000669
coturnix_japonica ENSCJPG00005014027
numida_meleagris ENSNMEG00000003601
apteryx_haastii ENSAHAG00000000091
apteryx_owenii ENSAOWG00000002515
apteryx_rowi ENSARWG00000012614
dromaius_novaehollandiae ENSDNVG00000012231
gopherus_agassizii ENSGAGG00000019546
chelonoidis_abingdonii ENSCABG00000017558
chrysemys_picta_bellii ENSCPBG00000026378
pelodiscus_sinensis ENSPSIG00000012589
crocodylus_porosus ENSCPRG00005008842
anolis_carolinensis ENSACAG00000015522
pogona_vitticeps ENSPVIG00000019805
notechis_scutatus ENSNSUG00000006912
salvator_merianae ENSSMRG00000007707
equus_caballus ENSECAG00000019747
equus_asinus_asinus ENSEASG00005018150
myotis_lucifugus ENSMLUG00000002030
capra_hircus ENSCHIG00000017949
ovis_aries ENSOARG00000006704
bos_taurus ENSBTAG00000008649
bos_mutus ENSBMUG00000016060
bison_bison_bison ENSBBBG00000016975
tursiops_truncatus ENSTTRG00000006912
sus_scrofa ENSSSCG00000024970
vicugna_pacos ENSVPAG00000006558
gorilla_gorilla ENSGGOG00000043382
homo_sapiens ENSG00000117036
pan_troglodytes ENSPTRG00000049741
pan_paniscus ENSPPAG00000028812
pongo_abelii ENSPPYG00000000693
nomascus_leucogenys ENSNLEG00000027738
theropithecus_gelada ENSTGEG00000002987
papio_anubis ENSPANG00000015166
mandrillus_leucophaeus ENSMLEG00000039911
macaca_fascicularis ENSMFAG00000001609
macaca_mulatta ENSMMUG00000042886
macaca_nemestrina ENSMNEG00000031207
cercocebus_atys ENSCATG00000030900
chlorocebus_sabaeus ENSCSAG00000002322
piliocolobus_tephrosceles ENSPTEG00000015475
colobus_angolensis_palliatus ENSCANG00000042535
rhinopithecus_bieti ENSRBIG00000039074
rhinopithecus_roxellana ENSRROG00000042415
cebus_capucinus_imitator ENSCCAG00000025017
saimiri_boliviensis_boliviensis ENSSBOG00000024012
callithrix_jacchus ENSCJAG00000045274
aotus_nancymaae ENSANAG00000020319
carlito_syrichta ENSTSYG00000029106
propithecus_coquereli ENSPCOG00000016398
microcebus_murinus ENSMICG00000046402
prolemur_simus ENSPSMG00000009981
otolemur_garnettii ENSOGAG00000001550
microtus_ochrogaster ENSMOCG00000020841
microtus_ochrogaster ENSMOCG00000016504
cricetulus_griseus_crigri-picr ENSCGRG00015025625
cricetulus_griseus_crigri_1.0 ENSCGRG00000010839
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023444
mesocricetus_auratus ENSMAUG00000002004
peromyscus_maniculatus_bairdii ENSPEMG00000029165
mus_spicilegus ENSMSIG00000021999
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000003382
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026077
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025136
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026579
rattus_norvegicus ENSRNOG00000043095
meriones_unguiculatus ENSMUGG00000026887
nannospalax_galili ENSNGAG00000003529
jaculus_jaculus ENSJJAG00000017438
castor_canadensis ENSCCNG00000024229
dipodomys_ordii ENSDORG00000029911
cavia_porcellus ENSCPOG00000032303
cavia_aperea ENSCAPG00000006464
chinchilla_lanigera ENSCLAG00000005837
octodon_degus ENSODEG00000007903
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017498
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018742
fukomys_damarensis ENSFDAG00000017985
urocitellus_parryii ENSUPAG00010005304
ictidomys_tridecemlineatus ENSSTOG00000022630
marmota_marmota_marmota ENSMMMG00000009981
spermophilus_dauricus ENSSDAG00000022927
ochotona_princeps ENSOPRG00000004123
oryctolagus_cuniculus ENSOCUG00000009760
tupaia_belangeri ENSTBEG00000008569
loxodonta_africana ENSLAFG00000006563
echinops_telfairi ENSETEG00000019066
choloepus_hoffmanni ENSCHOG00000004032
dasypus_novemcinctus ENSDNOG00000031769
ursus_americanus ENSUAMG00000019955
ursus_maritimus ENSUMAG00000017653
ailuropoda_melanoleuca ENSAMEG00000014816
neovison_vison ENSNVIG00000021492
mustela_putorius_furo ENSMPUG00000003538
canis_lupus_familiaris ENSCAFG00000016469
vulpes_vulpes ENSVVUG00000006476
canis_lupus_dingo ENSCAFG00020003819
sorex_araneus ENSSARG00000003473
pteropus_vampyrus ENSPVAG00000010725
bison_bison_bison ENSBBBG00000024203
panthera_pardus ENSPPRG00000023140
panthera_tigris_altaica ENSPTIG00000014884
felis_catus ENSFCAG00000040303
sarcophilus_harrisii ENSSHAG00000017211
phascolarctos_cinereus ENSPCIG00000001688
monodelphis_domestica ENSMODG00000016664
lepidothrix_coronata ENSLCOG00000001674
manacus_vitellinus ENSMVIG00005011453
serinus_canaria ENSSCAG00000005754
cyanistes_caeruleus ENSCCEG00000007726
junco_hyemalis ENSJHYG00000002969
nothoprocta_perdicaria ENSNPEG00000001498
latimeria_chalumnae ENSLACG00000008657
petromyzon_marinus ENSPMAG00000003248
eptatretus_burgeri ENSEBUG00000015085
