echinops_telfairi ENSETEG00000008825
procavia_capensis ENSPCAG00000002402
sus_scrofa ENSSSCG00000021938
vicugna_pacos ENSVPAG00000000643
tursiops_truncatus ENSTTRG00000003331
ovis_aries ENSOARG00000007659
capra_hircus ENSCHIG00000017869
bos_mutus ENSBMUG00000023165
bos_taurus ENSBTAG00000012801
bison_bison_bison ENSBBBG00000013916
pteropus_vampyrus ENSPVAG00000012306
sorex_araneus ENSSARG00000011774
castor_canadensis ENSCCNG00000022283
dipodomys_ordii ENSDORG00000005683
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000026839
mus_spicilegus ENSMSIG00000001709
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024495
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023574
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0025025
rattus_norvegicus ENSRNOG00000005341
meriones_unguiculatus ENSMUGG00000007425
cricetulus_griseus_crigri-picr ENSCGRG00015009772
cricetulus_griseus_crigri_1.0 ENSCGRG00000008465
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011463
mesocricetus_auratus ENSMAUG00000000231
peromyscus_maniculatus_bairdii ENSPEMG00000004188
microtus_ochrogaster ENSMOCG00000013921
nannospalax_galili ENSNGAG00000013166
jaculus_jaculus ENSJJAG00000019359
ictidomys_tridecemlineatus ENSSTOG00000030477
spermophilus_dauricus ENSSDAG00000007152
marmota_marmota_marmota ENSMMMG00000022512
octodon_degus ENSODEG00000014593
chinchilla_lanigera ENSCLAG00000003919
cavia_porcellus ENSCPOG00000003006
cavia_aperea ENSCAPG00000014067
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000004451
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100011548
fukomys_damarensis ENSFDAG00000017907
oryctolagus_cuniculus ENSOCUG00000008498
tupaia_belangeri ENSTBEG00000007075
microcebus_murinus ENSMICG00000004835
prolemur_simus ENSPSMG00000011492
propithecus_coquereli ENSPCOG00000026361
otolemur_garnettii ENSOGAG00000016439
pan_troglodytes ENSPTRG00000012556
pan_paniscus ENSPPAG00000036723
homo_sapiens ENSG00000007001
gorilla_gorilla ENSGGOG00000003425
pongo_abelii ENSPPYG00000012866
nomascus_leucogenys ENSNLEG00000000869
macaca_mulatta ENSMMUG00000011636
macaca_fascicularis ENSMFAG00000003209
macaca_nemestrina ENSMNEG00000040493
chlorocebus_sabaeus ENSCSAG00000015921
papio_anubis ENSPANG00000008397
theropithecus_gelada ENSTGEG00000009372
cercocebus_atys ENSCATG00000039609
mandrillus_leucophaeus ENSMLEG00000006823
piliocolobus_tephrosceles ENSPTEG00000029735
colobus_angolensis_palliatus ENSCANG00000032208
rhinopithecus_roxellana ENSRROG00000031449
