saimiri_boliviensis_boliviensis ENSSBOG00000019346
callithrix_jacchus ENSCJAG00000007967
cebus_capucinus_imitator ENSCCAG00000037492
cercocebus_atys ENSCATG00000039420
papio_anubis ENSPANG00000022333
mandrillus_leucophaeus ENSMLEG00000034001
macaca_fascicularis ENSMFAG00000026206
macaca_mulatta ENSMMUG00000020547
macaca_nemestrina ENSMNEG00000039252
theropithecus_gelada ENSTGEG00000007674
chlorocebus_sabaeus ENSCSAG00000007452
colobus_angolensis_palliatus ENSCANG00000001489
piliocolobus_tephrosceles ENSPTEG00000017046
rhinopithecus_bieti ENSRBIG00000034163
rhinopithecus_roxellana ENSRROG00000030019
pan_paniscus ENSPPAG00000032565
pan_troglodytes ENSPTRG00000015296
homo_sapiens ENSG00000173200
gorilla_gorilla ENSGGOG00000025733
pongo_abelii ENSPPYG00000013480
carlito_syrichta ENSTSYG00000005192
prolemur_simus ENSPSMG00000007459
microcebus_murinus ENSMICG00000049107
propithecus_coquereli ENSPCOG00000025615
otolemur_garnettii ENSOGAG00000001802
tupaia_belangeri ENSTBEG00000004304
equus_caballus ENSECAG00000008906
equus_asinus_asinus ENSEASG00005016550
sus_scrofa ENSSSCG00000011875
myotis_lucifugus ENSMLUG00000027565
myotis_lucifugus ENSMLUG00000008245
pteropus_vampyrus ENSPVAG00000012719
ursus_maritimus ENSUMAG00000025218
ursus_americanus ENSUAMG00000022700
ailuropoda_melanoleuca ENSAMEG00000004886
mustela_putorius_furo ENSMPUG00000004730
neovison_vison ENSNVIG00000014076
canis_lupus_dingo ENSCAFG00020005735
canis_lupus_familiaris ENSCAFG00000011953
vulpes_vulpes ENSVVUG00000022532
panthera_pardus ENSPPRG00000005753
panthera_tigris_altaica ENSPTIG00000011576
felis_catus ENSFCAG00000000929
erinaceus_europaeus ENSEEUG00000011427
