heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009647
sphenodon_punctatus ENSSPUG00000012015
phascolarctos_cinereus ENSPCIG00000016394
notamacropus_eugenii ENSMEUG00000002756
sarcophilus_harrisii ENSSHAG00000007531
monodelphis_domestica ENSMODG00000011627
ornithorhynchus_anatinus ENSOANG00000011027
loxodonta_africana ENSLAFG00000016212
procavia_capensis ENSPCAG00000011678
echinops_telfairi ENSETEG00000012748
dasypus_novemcinctus ENSDNOG00000014412
castor_canadensis ENSCCNG00000002319
dipodomys_ordii ENSDORG00000013876
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000031392
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034324
mus_spicilegus ENSMSIG00000003861
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033169
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031712
rattus_norvegicus ENSRNOG00000060869
meriones_unguiculatus ENSMUGG00000016736
peromyscus_maniculatus_bairdii ENSPEMG00000001469
microtus_ochrogaster ENSMOCG00000013809
cricetulus_griseus_crigri_1.0 ENSCGRG00000005470
cricetulus_griseus_crigri-picr ENSCGRG00015006379
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013928
mesocricetus_auratus ENSMAUG00000002430
nannospalax_galili ENSNGAG00000011647
jaculus_jaculus ENSJJAG00000013849
ictidomys_tridecemlineatus ENSSTOG00000007991
urocitellus_parryii ENSUPAG00010010971
spermophilus_dauricus ENSSDAG00000003573
marmota_marmota_marmota ENSMMMG00000009239
octodon_degus ENSODEG00000004583
chinchilla_lanigera ENSCLAG00000006192
cavia_aperea ENSCAPG00000017232
cavia_porcellus ENSCPOG00000039151
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000002116
fukomys_damarensis ENSFDAG00000011824
tupaia_belangeri ENSTBEG00000000367
pan_troglodytes ENSPTRG00000045829
pan_troglodytes ENSPTRG00000022423
pan_paniscus ENSPPAG00000040186
homo_sapiens ENSG00000184216
gorilla_gorilla ENSGGOG00000000220
pongo_abelii ENSPPYG00000020865
rhinopithecus_roxellana ENSRROG00000043120
rhinopithecus_bieti ENSRBIG00000037074
colobus_angolensis_palliatus ENSCANG00000033129
macaca_mulatta ENSMMUG00000018703
macaca_fascicularis ENSMFAG00000042818
macaca_nemestrina ENSMNEG00000021597
cercocebus_atys ENSCATG00000044264
papio_anubis ENSPANG00000015781
theropithecus_gelada ENSTGEG00000011845
mandrillus_leucophaeus ENSMLEG00000029062
chlorocebus_sabaeus ENSCSAG00000006804
nomascus_leucogenys ENSNLEG00000013767
piliocolobus_tephrosceles ENSPTEG00000020782
saimiri_boliviensis_boliviensis ENSSBOG00000018599
cebus_capucinus_imitator ENSCCAG00000023583
callithrix_jacchus ENSCJAG00000014452
aotus_nancymaae ENSANAG00000030752
carlito_syrichta ENSTSYG00000033020
prolemur_simus ENSPSMG00000022745
microcebus_murinus ENSMICG00000005136
propithecus_coquereli ENSPCOG00000027349
otolemur_garnettii ENSOGAG00000015108
capra_hircus ENSCHIG00000012170
ovis_aries ENSOARG00000005875
bos_taurus ENSBTAG00000016085
bos_mutus ENSBMUG00000014559
