seriola_lalandi_dorsalis ENSSLDG00000022989
seriola_dumerili ENSSDUG00000009837
scophthalmus_maximus ENSSMAG00000012382
tetraodon_nigroviridis ENSTNIG00000008115
takifugu_rubripes ENSTRUG00000006836
mola_mola ENSMMOG00000016692
labrus_bergylta ENSLBEG00000015643
monopterus_albus ENSMALG00000010325
mastacembelus_armatus ENSMAMG00000020013
anabas_testudineus ENSATEG00000022124
fundulus_heteroclitus ENSFHEG00000015760
cyprinodon_variegatus ENSCVAG00000001224
poecilia_mexicana ENSPMEG00000024227
poecilia_latipinna ENSPLAG00000014128
poecilia_formosa ENSPFOG00000011147
poecilia_reticulata ENSPREG00000008981
xiphophorus_maculatus ENSXMAG00000011908
xiphophorus_couchianus ENSXCOG00000019389
gambusia_affinis ENSGAFG00000013747
kryptolebias_marmoratus ENSKMAG00000006310
oryzias_latipes_asm223471v1 ENSORLG00020006650
oryzias_latipes_asm223469v1 ENSORLG00015012583
oryzias_latipes_asm223467v1 ENSORLG00000025071
oryzias_melastigma ENSOMEG00000011722
amphiprion_percula ENSAPEG00000009687
amphiprion_ocellaris ENSAOCG00000008225
acanthochromis_polyacanthus ENSAPOG00000023632
stegastes_partitus ENSSPAG00000021460
maylandia_zebra ENSMZEG00005016653
astatotilapia_calliptera ENSACLG00000022541
haplochromis_burtoni ENSHBUG00000014155
pundamilia_nyererei ENSPNYG00000001213
neolamprologus_brichardi ENSNBRG00000002310
oreochromis_niloticus ENSONIG00000012818
amphilophus_citrinellus ENSACIG00000012214
periophthalmus_magnuspinnatus ENSPMGG00000022892
cynoglossus_semilaevis ENSCSEG00000018623
hippocampus_comes ENSHCOG00000019101
gadus_morhua ENSGMOG00000004157
esox_lucius ENSELUG00000016232
astyanax_mexicanus ENSAMXG00000035585
astyanax_mexicanus ENSAMXG00000040544
pygocentrus_nattereri ENSPNAG00000018998
ictalurus_punctatus ENSIPUG00000007563
danio_rerio ENSDARG00000057687
scleropages_formosus ENSSFOG00015001621
paramormyrops_kingsleyae ENSPKIG00000001649
