mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021168
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000023017
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020273
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020276
rattus_norvegicus ENSRNOG00000059765
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001006030
cricetulus_griseus_crigri_1.0 ENSCGRG00000017609
mesocricetus_auratus ENSMAUG00000018938
microtus_ochrogaster ENSMOCG00000015709
nannospalax_galili ENSNGAG00000000530
dipodomys_ordii ENSDORG00000003675
ochotona_princeps ENSOPRG00000003393
equus_asinus_asinus ENSEASG00005004253
sorex_araneus ENSSARG00000004408
ailuropoda_melanoleuca ENSAMEG00000001129
mustela_putorius_furo ENSMPUG00000014390
canis_lupus_dingo ENSCAFG00020014523
panthera_tigris_altaica ENSPTIG00000018928
panthera_pardus ENSPPRG00000015855
felis_catus ENSFCAG00000009460
aotus_nancymaae ENSANAG00000027378
saimiri_boliviensis_boliviensis ENSSBOG00000034628
papio_anubis ENSPANG00000019747
ictidomys_tridecemlineatus ENSSTOG00000004908
tupaia_belangeri ENSTBEG00000003778
echinops_telfairi ENSETEG00000016738
piliocolobus_tephrosceles ENSPTEG00000005530
rhinopithecus_bieti ENSRBIG00000029596
chlorocebus_sabaeus ENSCSAG00000005996
pongo_abelii ENSPPYG00000004504
callithrix_jacchus ENSCJAG00000021071
carlito_syrichta ENSTSYG00000027151
prolemur_simus ENSPSMG00000004049
otolemur_garnettii ENSOGAG00000004661
chinchilla_lanigera ENSCLAG00000000832
octodon_degus ENSODEG00000009913
cavia_aperea ENSCAPG00000001239
cavia_porcellus ENSCPOG00000000413
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000004300
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018342
fukomys_damarensis ENSFDAG00000012592
capra_hircus ENSCHIG00000026006
bos_taurus ENSBTAG00000000970
sus_scrofa ENSSSCG00000000216
myotis_lucifugus ENSMLUG00000005096
erinaceus_europaeus ENSEEUG00000008943
jaculus_jaculus ENSJJAG00000021289
gorilla_gorilla ENSGGOG00000004133
homo_sapiens ENSG00000110881
nomascus_leucogenys ENSNLEG00000029021
rhinopithecus_roxellana ENSRROG00000034828
colobus_angolensis_palliatus ENSCANG00000030313
mandrillus_leucophaeus ENSMLEG00000028142
oryctolagus_cuniculus ENSOCUG00000015699
tursiops_truncatus ENSTTRG00000001008
ursus_americanus ENSUAMG00000013566
pteropus_vampyrus ENSPVAG00000006699
procavia_capensis ENSPCAG00000011852
choloepus_hoffmanni ENSCHOG00000005798
notamacropus_eugenii ENSMEUG00000002007
sarcophilus_harrisii ENSSHAG00000006030
bos_mutus ENSBMUG00000023773
ursus_americanus ENSUAMG00000006219
mus_spicilegus ENSMSIG00000003836
castor_canadensis ENSCCNG00000008119
anas_platyrhynchos_platyrhynchos ENSAPLG00000006928
zonotrichia_albicollis ENSZALG00000017636
nothoprocta_perdicaria ENSNPEG00000010739
crocodylus_porosus ENSCPRG00005003809
notechis_scutatus ENSNSUG00000001430
calidris_pugnax ENSCPUG00000002073
zonotrichia_albicollis ENSZALG00000015480
apteryx_rowi ENSARWG00000016403
chrysemys_picta_bellii ENSCPBG00000008516
notechis_scutatus ENSNSUG00000012443
sphenodon_punctatus ENSSPUG00000016654
sphenodon_punctatus ENSSPUG00000016647
notechis_scutatus ENSNSUG00000001428
manacus_vitellinus ENSMVIG00005002651
latimeria_chalumnae ENSLACG00000009714
anas_platyrhynchos_platyrhynchos ENSAPLG00000017390
gallus_gallus ENSGALG00000034025
calidris_pygmaea ENSCPGG00000017621
calidris_pugnax ENSCPUG00000005195
parus_major ENSPMJG00000012925
cyanistes_caeruleus ENSCCEG00000022120
lonchura_striata_domestica ENSLSDG00000016109
junco_hyemalis ENSJHYG00000015986
zonotrichia_albicollis ENSZALG00000017637
lepidothrix_coronata ENSLCOG00000005562
apteryx_haastii ENSAHAG00000002892
apteryx_owenii ENSAOWG00000001300
apteryx_rowi ENSARWG00000013030
dromaius_novaehollandiae ENSDNVG00000004297
pelodiscus_sinensis ENSPSIG00000012853
salvator_merianae ENSSMRG00000012406
macaca_mulatta ENSMMUG00000006529
macaca_fascicularis ENSMFAG00000035165
macaca_nemestrina ENSMNEG00000040991
theropithecus_gelada ENSTGEG00000002863
cercocebus_atys ENSCATG00000030053
pan_paniscus ENSPPAG00000037367
pan_troglodytes ENSPTRG00000004923
cebus_capucinus_imitator ENSCCAG00000030999
propithecus_coquereli ENSPCOG00000021809
microcebus_murinus ENSMICG00000015635
urocitellus_parryii ENSUPAG00010010041
spermophilus_dauricus ENSSDAG00000014193
marmota_marmota_marmota ENSMMMG00000023219
vulpes_vulpes ENSVVUG00000023704
canis_lupus_familiaris ENSCAFG00000008318
neovison_vison ENSNVIG00000005917
equus_caballus ENSECAG00000016366
bison_bison_bison ENSBBBG00000022870
bos_mutus ENSBMUG00000013453
ovis_aries ENSOARG00000018049
cricetulus_griseus_crigri-picr ENSCGRG00015008041
peromyscus_maniculatus_bairdii ENSPEMG00000018402
meriones_unguiculatus ENSMUGG00000026539
mus_spicilegus ENSMSIG00000007108
loxodonta_africana ENSLAFG00000000634
dasypus_novemcinctus ENSDNOG00000035941
phascolarctos_cinereus ENSPCIG00000007766
petromyzon_marinus ENSPMAG00000003813
amphiprion_percula ENSAPEG00000011810
meleagris_gallopavo ENSMGAG00000010535
coturnix_japonica ENSCJPG00005019958
numida_meleagris ENSNMEG00000014845
anser_brachyrhynchus ENSABRG00000021374
taeniopygia_guttata ENSTGUG00000003637
serinus_canaria ENSSCAG00000008342
ficedula_albicollis ENSFALG00000002144
melopsittacus_undulatus ENSMUNG00000016278
apteryx_owenii ENSAOWG00000001285
apteryx_haastii ENSAHAG00000002851
apteryx_rowi ENSARWG00000013029
chelonoidis_abingdonii ENSCABG00000011258
gopherus_agassizii ENSGAGG00000007003
chrysemys_picta_bellii ENSCPBG00000019376
pogona_vitticeps ENSPVIG00000014914
xenopus_tropicalis ENSXETG00000013366
oryzias_latipes_asm223469v1 ENSORLG00015012021
oryzias_latipes_asm223471v1 ENSORLG00020017223
oryzias_latipes_asm223467v1 ENSORLG00000012444
oryzias_melastigma ENSOMEG00000000731
hippocampus_comes ENSHCOG00000019514
cyprinodon_variegatus ENSCVAG00000016399
fundulus_heteroclitus ENSFHEG00000014944
poecilia_latipinna ENSPLAG00000008261
gambusia_affinis ENSGAFG00000012282
poecilia_formosa ENSPFOG00000003152
poecilia_latipinna ENSPLAG00000002400
poecilia_mexicana ENSPMEG00000021192
poecilia_reticulata ENSPREG00000006394
xiphophorus_maculatus ENSXMAG00000017207
xiphophorus_couchianus ENSXCOG00000012801
kryptolebias_marmoratus ENSKMAG00000011700
periophthalmus_magnuspinnatus ENSPMGG00000004443
tetraodon_nigroviridis ENSTNIG00000012591
takifugu_rubripes ENSTRUG00000001950
scophthalmus_maximus ENSSMAG00000000601
cynoglossus_semilaevis ENSCSEG00000020988
labrus_bergylta ENSLBEG00000010758
gasterosteus_aculeatus ENSGACG00000003075
amphiprion_ocellaris ENSAOCG00000011349
amphiprion_percula ENSAPEG00000017194
acanthochromis_polyacanthus ENSAPOG00000003411
stegastes_partitus ENSSPAG00000016764
monopterus_albus ENSMALG00000022398
mastacembelus_armatus ENSMAMG00000024150
anabas_testudineus ENSATEG00000017148
seriola_lalandi_dorsalis ENSSLDG00000009392
seriola_dumerili ENSSDUG00000021626
haplochromis_burtoni ENSHBUG00000011562
maylandia_zebra ENSMZEG00005026113
pundamilia_nyererei ENSPNYG00000020907
neolamprologus_brichardi ENSNBRG00000023032
oreochromis_niloticus ENSONIG00000017031
amphilophus_citrinellus ENSACIG00000000029
mola_mola ENSMMOG00000012393
gadus_morhua ENSGMOG00000009659
esox_lucius ENSELUG00000014906
pygocentrus_nattereri ENSPNAG00000013947
astyanax_mexicanus ENSAMXG00000016831
ictalurus_punctatus ENSIPUG00000014147
danio_rerio ENSDARG00000008329
scleropages_formosus ENSSFOG00015018213
