fundulus_heteroclitus ENSFHEG00000009052
cyprinodon_variegatus ENSCVAG00000021118
kryptolebias_marmoratus ENSKMAG00000021105
oryzias_latipes_asm223467v1 ENSORLG00000015332
oryzias_latipes_asm223469v1 ENSORLG00015000083
oryzias_latipes_asm223471v1 ENSORLG00020012855
oryzias_melastigma ENSOMEG00000019868
amphiprion_percula ENSAPEG00000006258
amphiprion_ocellaris ENSAOCG00000005316
acanthochromis_polyacanthus ENSAPOG00000002376
takifugu_rubripes ENSTRUG00000021897
tetraodon_nigroviridis ENSTNIG00000008835
hippocampus_comes ENSHCOG00000006928
poecilia_latipinna ENSPLAG00000019345
poecilia_formosa ENSPFOG00000011894
poecilia_mexicana ENSPMEG00000020888
poecilia_reticulata ENSPREG00000021070
xiphophorus_maculatus ENSXMAG00000023904
xiphophorus_couchianus ENSXCOG00000005772
gambusia_affinis ENSGAFG00000019163
stegastes_partitus ENSSPAG00000023403
gasterosteus_aculeatus ENSGACG00000000460
astatotilapia_calliptera ENSACLG00000024630
maylandia_zebra ENSMZEG00005000424
pundamilia_nyererei ENSPNYG00000007534
haplochromis_burtoni ENSHBUG00000018841
neolamprologus_brichardi ENSNBRG00000017010
oreochromis_niloticus ENSONIG00000010700
amphilophus_citrinellus ENSACIG00000014977
mola_mola ENSMMOG00000010712
mastacembelus_armatus ENSMAMG00000012648
monopterus_albus ENSMALG00000010197
anabas_testudineus ENSATEG00000006343
scophthalmus_maximus ENSSMAG00000000424
cynoglossus_semilaevis ENSCSEG00000000294
seriola_lalandi_dorsalis ENSSLDG00000004374
seriola_lalandi_dorsalis ENSSLDG00000000423
seriola_dumerili ENSSDUG00000004692
labrus_bergylta ENSLBEG00000006136
periophthalmus_magnuspinnatus ENSPMGG00000009850
gadus_morhua ENSGMOG00000004104
esox_lucius ENSELUG00000013083
pygocentrus_nattereri ENSPNAG00000019626
astyanax_mexicanus ENSAMXG00000019932
ictalurus_punctatus ENSIPUG00000015911
danio_rerio ENSDARG00000013950
scleropages_formosus ENSSFOG00015023265
paramormyrops_kingsleyae ENSPKIG00000004491
apteryx_owenii ENSAOWG00000000551
apteryx_haastii ENSAHAG00000012365
