coturnix_japonica ENSCJPG00005021223
gallus_gallus ENSGALG00000002734
meleagris_gallopavo ENSMGAG00000005043
numida_meleagris ENSNMEG00000020579
anser_brachyrhynchus ENSABRG00000022956
anas_platyrhynchos_platyrhynchos ENSAPLG00000014799
lepidothrix_coronata ENSLCOG00000010604
manacus_vitellinus ENSMVIG00005015185
taeniopygia_guttata ENSTGUG00000017148
lonchura_striata_domestica ENSLSDG00000009383
serinus_canaria ENSSCAG00000017266
cyanistes_caeruleus ENSCCEG00000022329
junco_hyemalis ENSJHYG00000000833
zonotrichia_albicollis ENSZALG00000015540
ficedula_albicollis ENSFALG00000003546
nothoprocta_perdicaria ENSNPEG00000004313
calidris_pugnax ENSCPUG00000000904
melopsittacus_undulatus ENSMUNG00000000548
apteryx_rowi ENSARWG00000003622
dromaius_novaehollandiae ENSDNVG00000000081
crocodylus_porosus ENSCPRG00005001107
gopherus_agassizii ENSGAGG00000016257
chelonoidis_abingdonii ENSCABG00000020751
chrysemys_picta_bellii ENSCPBG00000017971
pelodiscus_sinensis ENSPSIG00000014622
anolis_carolinensis ENSACAG00000005621
anolis_carolinensis ENSACAG00000022003
pogona_vitticeps ENSPVIG00000012355
salvator_merianae ENSSMRG00000023525
sphenodon_punctatus ENSSPUG00000005763
phascolarctos_cinereus ENSPCIG00000021507
sarcophilus_harrisii ENSSHAG00000012358
monodelphis_domestica ENSMODG00000001048
monodelphis_domestica ENSMODG00000011849
cavia_porcellus ENSCPOG00000004561
cavia_aperea ENSCAPG00000009137
octodon_degus ENSODEG00000006380
chinchilla_lanigera ENSCLAG00000004715
chinchilla_lanigera ENSCLAG00000013603
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000004032
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018664
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015218
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014212
fukomys_damarensis ENSFDAG00000011567
ictidomys_tridecemlineatus ENSSTOG00000004265
urocitellus_parryii ENSUPAG00010006521
marmota_marmota_marmota ENSMMMG00000021840
spermophilus_dauricus ENSSDAG00000011739
castor_canadensis ENSCCNG00000007159
castor_canadensis ENSCCNG00000006814
dipodomys_ordii ENSDORG00000011233
microtus_ochrogaster ENSMOCG00000008369
peromyscus_maniculatus_bairdii ENSPEMG00000001487
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013226
cricetulus_griseus_crigri-picr ENSCGRG00015006867
cricetulus_griseus_crigri_1.0 ENSCGRG00000000667
mesocricetus_auratus ENSMAUG00000001735
mus_spicilegus ENSMSIG00000012729
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015643
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000026667
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014837
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028074
rattus_norvegicus ENSRNOG00000056731
rattus_norvegicus ENSRNOG00000002941
meriones_unguiculatus ENSMUGG00000010019
nannospalax_galili ENSNGAG00000014202
jaculus_jaculus ENSJJAG00000015993
oryctolagus_cuniculus ENSOCUG00000012411
ochotona_princeps ENSOPRG00000001881
pan_paniscus ENSPPAG00000041163
pan_troglodytes ENSPTRG00000001601
gorilla_gorilla ENSGGOG00000002032
homo_sapiens ENSG00000152332
pongo_abelii ENSPPYG00000000582
nomascus_leucogenys ENSNLEG00000026604
rhinopithecus_roxellana ENSRROG00000031530
rhinopithecus_bieti ENSRBIG00000044498
piliocolobus_tephrosceles ENSPTEG00000024904
colobus_angolensis_palliatus ENSCANG00000032661
macaca_fascicularis ENSMFAG00000041742
macaca_mulatta ENSMMUG00000019513
macaca_nemestrina ENSMNEG00000004169
cercocebus_atys ENSCATG00000037499
chlorocebus_sabaeus ENSCSAG00000002742
papio_anubis ENSPANG00000001321
mandrillus_leucophaeus ENSMLEG00000038941
theropithecus_gelada ENSTGEG00000009182
cebus_capucinus_imitator ENSCCAG00000033689
callithrix_jacchus ENSCJAG00000004291
saimiri_boliviensis_boliviensis ENSSBOG00000028187
aotus_nancymaae ENSANAG00000022526
carlito_syrichta ENSTSYG00000011273
microcebus_murinus ENSMICG00000017256
microcebus_murinus ENSMICG00000046769
microcebus_murinus ENSMICG00000038125
propithecus_coquereli ENSPCOG00000025540
prolemur_simus ENSPSMG00000003662
otolemur_garnettii ENSOGAG00000016110
bos_taurus ENSBTAG00000012694
bos_mutus ENSBMUG00000012337
bison_bison_bison ENSBBBG00000022822
capra_hircus ENSCHIG00000019078
ovis_aries ENSOARG00000010744
tursiops_truncatus ENSTTRG00000003560
sus_scrofa ENSSSCG00000006342
vicugna_pacos ENSVPAG00000010726
equus_caballus ENSECAG00000008744
equus_asinus_asinus ENSEASG00005022829
ursus_americanus ENSUAMG00000027426
ursus_maritimus ENSUMAG00000022774
ailuropoda_melanoleuca ENSAMEG00000001572
