acanthochromis_polyacanthus ENSAPOG00000011021
stegastes_partitus ENSSPAG00000011293
gambusia_affinis ENSGAFG00000004678
poecilia_reticulata ENSPREG00000011175
xiphophorus_couchianus ENSXCOG00000005738
fundulus_heteroclitus ENSFHEG00000016150
kryptolebias_marmoratus ENSKMAG00000004838
oryzias_latipes_asm223467v1 ENSORLG00000028736
oryzias_latipes_asm223471v1 ENSORLG00020014523
mola_mola ENSMMOG00000007520
takifugu_rubripes ENSTRUG00000021987
amphilophus_citrinellus ENSACIG00000011271
neolamprologus_brichardi ENSNBRG00000021949
labrus_bergylta ENSLBEG00000027669
seriola_dumerili ENSSDUG00000009792
scophthalmus_maximus ENSSMAG00000021013
periophthalmus_magnuspinnatus ENSPMGG00000020622
monopterus_albus ENSMALG00000017964
lepisosteus_oculatus ENSLOCG00000002192
