nomascus_leucogenys ENSNLEG00000027702
propithecus_coquereli ENSPCOG00000014154
mesocricetus_auratus ENSMAUG00000018936
tursiops_truncatus ENSTTRG00000006491
echinops_telfairi ENSETEG00000003110
notamacropus_eugenii ENSMEUG00000014867
dromaius_novaehollandiae ENSDNVG00000017271
apteryx_rowi ENSARWG00000018753
taeniopygia_guttata ENSTGUG00000001027
notechis_scutatus ENSNSUG00000003949
fundulus_heteroclitus ENSFHEG00000016334
cyprinodon_variegatus ENSCVAG00000020023
amphilophus_citrinellus ENSACIG00000010951
mola_mola ENSMMOG00000007541
periophthalmus_magnuspinnatus ENSPMGG00000018396
