ovis_aries ENSOARG00000012850
capra_hircus ENSCHIG00000023815
bos_mutus ENSBMUG00000013455
bison_bison_bison ENSBBBG00000003473
tursiops_truncatus ENSTTRG00000006251
sus_scrofa ENSSSCG00000040406
sorex_araneus ENSSARG00000001623
ailuropoda_melanoleuca ENSAMEG00000018178
ursus_americanus ENSUAMG00000020033
mustela_putorius_furo ENSMPUG00000008198
neovison_vison ENSNVIG00000008665
canis_lupus_dingo ENSCAFG00020004701
canis_lupus_familiaris ENSCAFG00000019883
vulpes_vulpes ENSVVUG00000003193
felis_catus ENSFCAG00000043160
felis_catus ENSFCAG00000038194
panthera_pardus ENSPPRG00000007706
equus_asinus_asinus ENSEASG00005000569
myotis_lucifugus ENSMLUG00000008861
pteropus_vampyrus ENSPVAG00000017351
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010698
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100014312
fukomys_damarensis ENSFDAG00000011568
chinchilla_lanigera ENSCLAG00000000670
octodon_degus ENSODEG00000004311
cavia_aperea ENSCAPG00000013943
cavia_porcellus ENSCPOG00000033964
urocitellus_parryii ENSUPAG00010015474
ictidomys_tridecemlineatus ENSSTOG00000022407
spermophilus_dauricus ENSSDAG00000006539
marmota_marmota_marmota ENSMMMG00000010778
castor_canadensis ENSCCNG00000018512
dipodomys_ordii ENSDORG00000005787
mus_spicilegus ENSMSIG00000015592
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032777
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000046108
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031659
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0023257
rattus_norvegicus ENSRNOG00000013007
meriones_unguiculatus ENSMUGG00000009316
cricetulus_griseus_crigri_1.0 ENSCGRG00000018402
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001024519
cricetulus_griseus_crigri-picr ENSCGRG00015021501
mesocricetus_auratus ENSMAUG00000010465
peromyscus_maniculatus_bairdii ENSPEMG00000019129
microtus_ochrogaster ENSMOCG00000022236
nannospalax_galili ENSNGAG00000013943
jaculus_jaculus ENSJJAG00000021149
ochotona_princeps ENSOPRG00000006630
rhinopithecus_roxellana ENSRROG00000037384
rhinopithecus_bieti ENSRBIG00000033837
piliocolobus_tephrosceles ENSPTEG00000037183
colobus_angolensis_palliatus ENSCANG00000030273
cercocebus_atys ENSCATG00000044689
mandrillus_leucophaeus ENSMLEG00000027565
papio_anubis ENSPANG00000023121
theropithecus_gelada ENSTGEG00000020369
macaca_fascicularis ENSMFAG00000036423
macaca_mulatta ENSMMUG00000014324
macaca_nemestrina ENSMNEG00000035604
chlorocebus_sabaeus ENSCSAG00000003062
pan_troglodytes ENSPTRG00000008457
pan_paniscus ENSPPAG00000002106
homo_sapiens ENSG00000124391
gorilla_gorilla ENSGGOG00000012533
pongo_abelii ENSPPYG00000007640
nomascus_leucogenys ENSNLEG00000000566
cebus_capucinus_imitator ENSCCAG00000032238
saimiri_boliviensis_boliviensis ENSSBOG00000018593
callithrix_jacchus ENSCJAG00000012829
aotus_nancymaae ENSANAG00000031107
carlito_syrichta ENSTSYG00000034277
propithecus_coquereli ENSPCOG00000027206
prolemur_simus ENSPSMG00000009542
microcebus_murinus ENSMICG00000006713
otolemur_garnettii ENSOGAG00000000416
procavia_capensis ENSPCAG00000010041
echinops_telfairi ENSETEG00000006491
phascolarctos_cinereus ENSPCIG00000007478
notamacropus_eugenii ENSMEUG00000014343
sarcophilus_harrisii ENSSHAG00000005664
monodelphis_domestica ENSMODG00000004230
anser_brachyrhynchus ENSABRG00000021541
anas_platyrhynchos_platyrhynchos ENSAPLG00000007297
gallus_gallus ENSGALG00000028465
coturnix_japonica ENSCJPG00005014995
meleagris_gallopavo ENSMGAG00000007878
taeniopygia_guttata ENSTGUG00000007718
lonchura_striata_domestica ENSLSDG00000005781
parus_major ENSPMJG00000013851
serinus_canaria ENSSCAG00000007049
junco_hyemalis ENSJHYG00000004857
ficedula_albicollis ENSFALG00000003501
calidris_pygmaea ENSCPGG00000009767
apteryx_rowi ENSARWG00000010551
nothoprocta_perdicaria ENSNPEG00000001834
dromaius_novaehollandiae ENSDNVG00000006408
crocodylus_porosus ENSCPRG00005006982
chelonoidis_abingdonii ENSCABG00000003482
gopherus_agassizii ENSGAGG00000019227
chrysemys_picta_bellii ENSCPBG00000023486
sphenodon_punctatus ENSSPUG00000007358
anabas_testudineus ENSATEG00000022791
takifugu_rubripes ENSTRUG00000021071
acanthochromis_polyacanthus ENSAPOG00000003627
