oryzias_latipes_asm223467v1 ENSORLG00000011656
oryzias_latipes_asm223471v1 ENSORLG00020005744
oryzias_latipes_asm223469v1 ENSORLG00015000095
oryzias_melastigma ENSOMEG00000011412
poecilia_reticulata ENSPREG00000022657
gambusia_affinis ENSGAFG00000010551
amphiprion_ocellaris ENSAOCG00000018035
amphiprion_percula ENSAPEG00000014666
stegastes_partitus ENSSPAG00000011176
mola_mola ENSMMOG00000001590
tetraodon_nigroviridis ENSTNIG00000006779
scophthalmus_maximus ENSSMAG00000019641
periophthalmus_magnuspinnatus ENSPMGG00000023921
gadus_morhua ENSGMOG00000008529
danio_rerio ENSDARG00000022372
paramormyrops_kingsleyae ENSPKIG00000022749
