poecilia_reticulata ENSPREG00000018346
amphiprion_percula ENSAPEG00000016936
seriola_dumerili ENSSDUG00000020327
oryzias_latipes_asm223471v1 ENSORLG00020008790
oryzias_latipes_asm223467v1 ENSORLG00000027533
cyprinodon_variegatus ENSCVAG00000020402
cynoglossus_semilaevis ENSCSEG00000007958
mola_mola ENSMMOG00000006032
monopterus_albus ENSMALG00000014075
paramormyrops_kingsleyae ENSPKIG00000021451
serinus_canaria ENSSCAG00000000046
lonchura_striata_domestica ENSLSDG00000014953
zonotrichia_albicollis ENSZALG00000011759
manacus_vitellinus ENSMVIG00005017269
lepidothrix_coronata ENSLCOG00000008944
melopsittacus_undulatus ENSMUNG00000010024
calidris_pugnax ENSCPUG00000007935
coturnix_japonica ENSCJPG00005009027
