astyanax_mexicanus ENSAMXG00000041807
pygocentrus_nattereri ENSPNAG00000000800
ictalurus_punctatus ENSIPUG00000006454
danio_rerio ENSDARG00000058020
seriola_dumerili ENSSDUG00000001741
seriola_lalandi_dorsalis ENSSLDG00000025630
scophthalmus_maximus ENSSMAG00000011703
oryzias_latipes_asm223467v1 ENSORLG00000013029
oryzias_latipes_asm223469v1 ENSORLG00015017693
oryzias_latipes_asm223471v1 ENSORLG00020021377
oryzias_melastigma ENSOMEG00000023892
hippocampus_comes ENSHCOG00000005869
mastacembelus_armatus ENSMAMG00000023669
monopterus_albus ENSMALG00000004703
tetraodon_nigroviridis ENSTNIG00000000951
takifugu_rubripes ENSTRUG00000013001
mola_mola ENSMMOG00000005055
labrus_bergylta ENSLBEG00000015156
gasterosteus_aculeatus ENSGACG00000012460
amphiprion_ocellaris ENSAOCG00000010396
amphiprion_percula ENSAPEG00000008404
acanthochromis_polyacanthus ENSAPOG00000015075
stegastes_partitus ENSSPAG00000009842
astatotilapia_calliptera ENSACLG00000001908
pundamilia_nyererei ENSPNYG00000013729
haplochromis_burtoni ENSHBUG00000014860
neolamprologus_brichardi ENSNBRG00000006314
maylandia_zebra ENSMZEG00005011335
maylandia_zebra ENSMZEG00005023968
oreochromis_niloticus ENSONIG00000002146
amphilophus_citrinellus ENSACIG00000007487
xiphophorus_maculatus ENSXMAG00000024593
xiphophorus_couchianus ENSXCOG00000018409
gambusia_affinis ENSGAFG00000018992
poecilia_mexicana ENSPMEG00000006083
poecilia_latipinna ENSPLAG00000018851
poecilia_formosa ENSPFOG00000022052
poecilia_reticulata ENSPREG00000001103
fundulus_heteroclitus ENSFHEG00000016514
cyprinodon_variegatus ENSCVAG00000000940
kryptolebias_marmoratus ENSKMAG00000000149
cynoglossus_semilaevis ENSCSEG00000013316
periophthalmus_magnuspinnatus ENSPMGG00000022805
anabas_testudineus ENSATEG00000024766
gadus_morhua ENSGMOG00000009050
esox_lucius ENSELUG00000016847
scleropages_formosus ENSSFOG00015011044
paramormyrops_kingsleyae ENSPKIG00000004759
lepisosteus_oculatus ENSLOCG00000006165
takifugu_rubripes ENSTRUG00000004943
gopherus_agassizii ENSGAGG00000010157
chelonoidis_abingdonii ENSCABG00000010128
chrysemys_picta_bellii ENSCPBG00000023887
pelodiscus_sinensis ENSPSIG00000009970
calidris_pygmaea ENSCPGG00000012955
