fundulus_heteroclitus ENSFHEG00000019824
cyprinodon_variegatus ENSCVAG00000007379
kryptolebias_marmoratus ENSKMAG00000003288
oryzias_latipes_asm223467v1 ENSORLG00000025892
oryzias_latipes_asm223469v1 ENSORLG00015011052
oryzias_latipes_asm223471v1 ENSORLG00020012621
oryzias_melastigma ENSOMEG00000020549
amphiprion_ocellaris ENSAOCG00000012328
amphiprion_percula ENSAPEG00000015361
acanthochromis_polyacanthus ENSAPOG00000011124
stegastes_partitus ENSSPAG00000019300
seriola_lalandi_dorsalis ENSSLDG00000024024
seriola_dumerili ENSSDUG00000008730
scophthalmus_maximus ENSSMAG00000021393
mola_mola ENSMMOG00000017274
takifugu_rubripes ENSTRUG00000023768
mastacembelus_armatus ENSMAMG00000021935
anabas_testudineus ENSATEG00000007918
cynoglossus_semilaevis ENSCSEG00000001954
hippocampus_comes ENSHCOG00000008733
labrus_bergylta ENSLBEG00000000914
gasterosteus_aculeatus ENSGACG00000015602
amphilophus_citrinellus ENSACIG00000005510
periophthalmus_magnuspinnatus ENSPMGG00000004852
gadus_morhua ENSGMOG00000019869
esox_lucius ENSELUG00000001079
pygocentrus_nattereri ENSPNAG00000003356
astyanax_mexicanus ENSAMXG00000039950
ictalurus_punctatus ENSIPUG00000017455
danio_rerio ENSDARG00000099257
paramormyrops_kingsleyae ENSPKIG00000017876
