mastacembelus_armatus ENSMAMG00000014810
gasterosteus_aculeatus ENSGACG00000019081
seriola_lalandi_dorsalis ENSSLDG00000005977
cyprinodon_variegatus ENSCVAG00000000851
cyprinodon_variegatus ENSCVAG00000014235
cyprinodon_variegatus ENSCVAG00000014277
fundulus_heteroclitus ENSFHEG00000017798
oryzias_latipes_asm223467v1 ENSORLG00000022239
oryzias_latipes_asm223467v1 ENSORLG00000024581
oryzias_latipes_asm223469v1 ENSORLG00015003367
oryzias_latipes_asm223471v1 ENSORLG00020005899
oryzias_latipes_asm223471v1 ENSORLG00020005867
oryzias_latipes_asm223469v1 ENSORLG00015003340
oryzias_melastigma ENSOMEG00000016433
oryzias_melastigma ENSOMEG00000019246
oryzias_melastigma ENSOMEG00000019235
oryzias_melastigma ENSOMEG00000016448
acanthochromis_polyacanthus ENSAPOG00000007397
amphiprion_ocellaris ENSAOCG00000000049
stegastes_partitus ENSSPAG00000004718
amphilophus_citrinellus ENSACIG00000009897
amphilophus_citrinellus ENSACIG00000009845
neolamprologus_brichardi ENSNBRG00000003813
neolamprologus_brichardi ENSNBRG00000003850
astatotilapia_calliptera ENSACLG00000013225
haplochromis_burtoni ENSHBUG00000012807
maylandia_zebra ENSMZEG00005020931
oreochromis_niloticus ENSONIG00000012987
