ficedula_albicollis ENSFALG00000012974
cyanistes_caeruleus ENSCCEG00000009471
nothoprocta_perdicaria ENSNPEG00000010776
crocodylus_porosus ENSCPRG00005004601
echinops_telfairi ENSETEG00000016371
paramormyrops_kingsleyae ENSPKIG00000002254
scleropages_formosus ENSSFOG00015018025
lepisosteus_oculatus ENSLOCG00000005992
notamacropus_eugenii ENSMEUG00000009510
phascolarctos_cinereus ENSPCIG00000025156
sarcophilus_harrisii ENSSHAG00000004205
monodelphis_domestica ENSMODG00000010173
marmota_marmota_marmota ENSMMMG00000022198
ictidomys_tridecemlineatus ENSSTOG00000028743
spermophilus_dauricus ENSSDAG00000000486
urocitellus_parryii ENSUPAG00010003430
cavia_aperea ENSCAPG00000013078
chinchilla_lanigera ENSCLAG00000011797
fukomys_damarensis ENSFDAG00000016958
castor_canadensis ENSCCNG00000008952
dipodomys_ordii ENSDORG00000029620
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021379
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000022676
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020483
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016188
meriones_unguiculatus ENSMUGG00000027193
cricetulus_griseus_crigri-picr ENSCGRG00015010521
cricetulus_griseus_crigri_1.0 ENSCGRG00000012119
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013674
mesocricetus_auratus ENSMAUG00000008119
peromyscus_maniculatus_bairdii ENSPEMG00000011739
microtus_ochrogaster ENSMOCG00000006622
pan_troglodytes ENSPTRG00000020235
pan_paniscus ENSPPAG00000015662
homo_sapiens ENSG00000019549
gorilla_gorilla ENSGGOG00000000959
pongo_abelii ENSPPYG00000018578
nomascus_leucogenys ENSNLEG00000013421
rhinopithecus_roxellana ENSRROG00000032273
rhinopithecus_bieti ENSRBIG00000041133
colobus_angolensis_palliatus ENSCANG00000029656
piliocolobus_tephrosceles ENSPTEG00000028624
macaca_nemestrina ENSMNEG00000034216
macaca_mulatta ENSMMUG00000016195
macaca_fascicularis ENSMFAG00000046061
cercocebus_atys ENSCATG00000028656
chlorocebus_sabaeus ENSCSAG00000014787
mandrillus_leucophaeus ENSMLEG00000034407
theropithecus_gelada ENSTGEG00000014079
papio_anubis ENSPANG00000017540
cebus_capucinus_imitator ENSCCAG00000024100
saimiri_boliviensis_boliviensis ENSSBOG00000035774
callithrix_jacchus ENSCJAG00000013499
aotus_nancymaae ENSANAG00000021163
propithecus_coquereli ENSPCOG00000015656
ursus_maritimus ENSUMAG00000006525
ursus_americanus ENSUAMG00000014942
ailuropoda_melanoleuca ENSAMEG00000009606
mustela_putorius_furo ENSMPUG00000010793
neovison_vison ENSNVIG00000002904
canis_lupus_familiaris ENSCAFG00000006638
canis_lupus_dingo ENSCAFG00020015384
vulpes_vulpes ENSVVUG00000017625
panthera_tigris_altaica ENSPTIG00000007593
erinaceus_europaeus ENSEEUG00000014568
pteropus_vampyrus ENSPVAG00000009457
myotis_lucifugus ENSMLUG00000001086
carlito_syrichta ENSTSYG00000030892
ochotona_princeps ENSOPRG00000012639
bos_taurus ENSBTAG00000013227
bos_mutus ENSBMUG00000011335
bison_bison_bison ENSBBBG00000018743
capra_hircus ENSCHIG00000024410
ovis_aries ENSOARG00000013030
sus_scrofa ENSSSCG00000039568
sorex_araneus ENSSARG00000003177
loxodonta_africana ENSLAFG00000009299
ornithorhynchus_anatinus ENSOANG00000007267
gopherus_agassizii ENSGAGG00000000426
chelonoidis_abingdonii ENSCABG00000014436
chrysemys_picta_bellii ENSCPBG00000020255
pelodiscus_sinensis ENSPSIG00000016395
melopsittacus_undulatus ENSMUNG00000006356
xenopus_tropicalis ENSXETG00000024006
periophthalmus_magnuspinnatus ENSPMGG00000013179
hippocampus_comes ENSHCOG00000019435
poecilia_reticulata ENSPREG00000008528
esox_lucius ENSELUG00000021795
ictalurus_punctatus ENSIPUG00000000131
astyanax_mexicanus ENSAMXG00000011013
pygocentrus_nattereri ENSPNAG00000021309
ictalurus_punctatus ENSIPUG00000023647
esox_lucius ENSELUG00000018742
stegastes_partitus ENSSPAG00000004069
amphilophus_citrinellus ENSACIG00000019727
seriola_dumerili ENSSDUG00000015295
labrus_bergylta ENSLBEG00000015337
paramormyrops_kingsleyae ENSPKIG00000007872
scleropages_formosus ENSSFOG00015016115
lepisosteus_oculatus ENSLOCG00000004887
pogona_vitticeps ENSPVIG00000012119
notechis_scutatus ENSNSUG00000009054
salvator_merianae ENSSMRG00000006819
sphenodon_punctatus ENSSPUG00000007322
gopherus_agassizii ENSGAGG00000023571
chelonoidis_abingdonii ENSCABG00000003494
chrysemys_picta_bellii ENSCPBG00000023474
pelodiscus_sinensis ENSPSIG00000004262
pan_paniscus ENSPPAG00000043301
pan_troglodytes ENSPTRG00000008460
homo_sapiens ENSG00000185669
gorilla_gorilla ENSGGOG00000012559
pongo_abelii ENSPPYG00000007643
nomascus_leucogenys ENSNLEG00000000595
rhinopithecus_bieti ENSRBIG00000025770
rhinopithecus_roxellana ENSRROG00000032757
piliocolobus_tephrosceles ENSPTEG00000037284
macaca_fascicularis ENSMFAG00000032064
macaca_mulatta ENSMMUG00000008716
macaca_nemestrina ENSMNEG00000045515
papio_anubis ENSPANG00000000509
theropithecus_gelada ENSTGEG00000020429
cercocebus_atys ENSCATG00000031714
chlorocebus_sabaeus ENSCSAG00000003047
mandrillus_leucophaeus ENSMLEG00000033191
colobus_angolensis_palliatus ENSCANG00000031124
cebus_capucinus_imitator ENSCCAG00000037651
saimiri_boliviensis_boliviensis ENSSBOG00000026371
callithrix_jacchus ENSCJAG00000012922
aotus_nancymaae ENSANAG00000032748
carlito_syrichta ENSTSYG00000025594
propithecus_coquereli ENSPCOG00000020552
microcebus_murinus ENSMICG00000048066
prolemur_simus ENSPSMG00000009571
otolemur_garnettii ENSOGAG00000000419
tupaia_belangeri ENSTBEG00000012944
tupaia_belangeri ENSTBEG00000008324
castor_canadensis ENSCCNG00000018531
dipodomys_ordii ENSDORG00000011547
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032780
mus_spicilegus ENSMSIG00000015478
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000006587
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031662
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0023260
rattus_norvegicus ENSRNOG00000013586
meriones_unguiculatus ENSMUGG00000009353
peromyscus_maniculatus_bairdii ENSPEMG00000029324
microtus_ochrogaster ENSMOCG00000003536
cricetulus_griseus_crigri-picr ENSCGRG00015021395
cricetulus_griseus_crigri_1.0 ENSCGRG00000014932
