urocitellus_parryii ENSUPAG00010013052
ictidomys_tridecemlineatus ENSSTOG00000007440
spermophilus_dauricus ENSSDAG00000015425
marmota_marmota_marmota ENSMMMG00000017884
castor_canadensis ENSCCNG00000025240
cricetulus_griseus_crigri_1.0 ENSCGRG00000018134
cricetulus_griseus_crigri-picr ENSCGRG00015003806
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001009970
mesocricetus_auratus ENSMAUG00000011094
peromyscus_maniculatus_bairdii ENSPEMG00000012177
microtus_ochrogaster ENSMOCG00000017717
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029919
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000030336
mus_spicilegus ENSMSIG00000007002
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028876
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022637
rattus_norvegicus ENSRNOG00000027466
meriones_unguiculatus ENSMUGG00000011804
nannospalax_galili ENSNGAG00000019654
jaculus_jaculus ENSJJAG00000019993
oryctolagus_cuniculus ENSOCUG00000008159
ochotona_princeps ENSOPRG00000012447
carlito_syrichta ENSTSYG00000034061
propithecus_coquereli ENSPCOG00000025005
microcebus_murinus ENSMICG00000043982
prolemur_simus ENSPSMG00000017574
otolemur_garnettii ENSOGAG00000012085
pan_troglodytes ENSPTRG00000029823
pan_paniscus ENSPPAG00000036587
gorilla_gorilla ENSGGOG00000004650
homo_sapiens ENSG00000139193
pongo_abelii ENSPPYG00000029486
nomascus_leucogenys ENSNLEG00000003696
rhinopithecus_bieti ENSRBIG00000028838
rhinopithecus_roxellana ENSRROG00000030539
piliocolobus_tephrosceles ENSPTEG00000038622
colobus_angolensis_palliatus ENSCANG00000040176
macaca_fascicularis ENSMFAG00000043547
macaca_nemestrina ENSMNEG00000007757
macaca_mulatta ENSMMUG00000014265
cercocebus_atys ENSCATG00000035274
mandrillus_leucophaeus ENSMLEG00000029295
papio_anubis ENSPANG00000010690
theropithecus_gelada ENSTGEG00000010366
chlorocebus_sabaeus ENSCSAG00000010635
callithrix_jacchus ENSCJAG00000000719
cebus_capucinus_imitator ENSCCAG00000032627
saimiri_boliviensis_boliviensis ENSSBOG00000023847
aotus_nancymaae ENSANAG00000036800
cavia_aperea ENSCAPG00000014043
cavia_porcellus ENSCPOG00000008449
chinchilla_lanigera ENSCLAG00000016154
octodon_degus ENSODEG00000004529
fukomys_damarensis ENSFDAG00000003874
pteropus_vampyrus ENSPVAG00000012562
myotis_lucifugus ENSMLUG00000014298
equus_caballus ENSECAG00000011126
equus_asinus_asinus ENSEASG00005016166
ursus_americanus ENSUAMG00000022542
ursus_maritimus ENSUMAG00000007399
ailuropoda_melanoleuca ENSAMEG00000014466
neovison_vison ENSNVIG00000024681
mustela_putorius_furo ENSMPUG00000016908
canis_lupus_familiaris ENSCAFG00000015149
canis_lupus_dingo ENSCAFG00020002851
vulpes_vulpes ENSVVUG00000012048
panthera_pardus ENSPPRG00000020532
panthera_tigris_altaica ENSPTIG00000004351
felis_catus ENSFCAG00000006870
bos_mutus ENSBMUG00000006538
bos_taurus ENSBTAG00000014725
bison_bison_bison ENSBBBG00000009087
capra_hircus ENSCHIG00000021715
ovis_aries ENSOARG00000008332
tursiops_truncatus ENSTTRG00000014467
sus_scrofa ENSSSCG00000000705
loxodonta_africana ENSLAFG00000021608
procavia_capensis ENSPCAG00000009793
dasypus_novemcinctus ENSDNOG00000035400
notamacropus_eugenii ENSMEUG00000015238
phascolarctos_cinereus ENSPCIG00000001727
sarcophilus_harrisii ENSSHAG00000014740
monodelphis_domestica ENSMODG00000018060
