astatotilapia_calliptera ENSACLG00000020532
maylandia_zebra ENSMZEG00005009974
amphilophus_citrinellus ENSACIG00000005740
amphiprion_ocellaris ENSAOCG00000000990
amphiprion_percula ENSAPEG00000000408
acanthochromis_polyacanthus ENSAPOG00000000329
stegastes_partitus ENSSPAG00000007627
poecilia_mexicana ENSPMEG00000000786
poecilia_latipinna ENSPLAG00000009878
poecilia_reticulata ENSPREG00000001152
xiphophorus_maculatus ENSXMAG00000028293
xiphophorus_couchianus ENSXCOG00000020646
gambusia_affinis ENSGAFG00000021893
fundulus_heteroclitus ENSFHEG00000022508
cyprinodon_variegatus ENSCVAG00000009308
oryzias_latipes_asm223471v1 ENSORLG00020018744
oryzias_latipes_asm223467v1 ENSORLG00000024371
oryzias_latipes_asm223469v1 ENSORLG00015000302
oryzias_melastigma ENSOMEG00000012854
scophthalmus_maximus ENSSMAG00000015900
cynoglossus_semilaevis ENSCSEG00000013848
periophthalmus_magnuspinnatus ENSPMGG00000017748
labrus_bergylta ENSLBEG00000008365
mastacembelus_armatus ENSMAMG00000015063
seriola_dumerili ENSSDUG00000003057
seriola_lalandi_dorsalis ENSSLDG00000014118
esox_lucius ENSELUG00000011108
pygocentrus_nattereri ENSPNAG00000011659
astyanax_mexicanus ENSAMXG00000030632
ictalurus_punctatus ENSIPUG00000008411
danio_rerio ENSDARG00000101577
scleropages_formosus ENSSFOG00015023680
