latimeria_chalumnae ENSLACG00000015993
xenopus_tropicalis ENSXETG00000009122
paramormyrops_kingsleyae ENSPKIG00000023536
scleropages_formosus ENSSFOG00015018676
astatotilapia_calliptera ENSACLG00000018923
maylandia_zebra ENSMZEG00005006380
haplochromis_burtoni ENSHBUG00000014265
pundamilia_nyererei ENSPNYG00000021095
neolamprologus_brichardi ENSNBRG00000010465
oreochromis_niloticus ENSONIG00000003703
amphilophus_citrinellus ENSACIG00000023679
xiphophorus_maculatus ENSXMAG00000010949
poecilia_reticulata ENSPREG00000018768
poecilia_mexicana ENSPMEG00000010621
poecilia_formosa ENSPFOG00000005156
poecilia_latipinna ENSPLAG00000015613
xiphophorus_couchianus ENSXCOG00000000584
gambusia_affinis ENSGAFG00000002904
cyprinodon_variegatus ENSCVAG00000011328
fundulus_heteroclitus ENSFHEG00000006921
kryptolebias_marmoratus ENSKMAG00000007233
amphiprion_ocellaris ENSAOCG00000009963
amphiprion_percula ENSAPEG00000021304
acanthochromis_polyacanthus ENSAPOG00000016306
stegastes_partitus ENSSPAG00000003039
oryzias_latipes_asm223469v1 ENSORLG00015000796
oryzias_latipes_asm223467v1 ENSORLG00000028510
oryzias_latipes_asm223471v1 ENSORLG00020011174
oryzias_melastigma ENSOMEG00000008025
monopterus_albus ENSMALG00000010386
mastacembelus_armatus ENSMAMG00000000384
anabas_testudineus ENSATEG00000014743
seriola_lalandi_dorsalis ENSSLDG00000005525
seriola_dumerili ENSSDUG00000018753
scophthalmus_maximus ENSSMAG00000020583
takifugu_rubripes ENSTRUG00000024016
tetraodon_nigroviridis ENSTNIG00000017319
mola_mola ENSMMOG00000011990
labrus_bergylta ENSLBEG00000013161
cynoglossus_semilaevis ENSCSEG00000001698
hippocampus_comes ENSHCOG00000015790
periophthalmus_magnuspinnatus ENSPMGG00000014348
gadus_morhua ENSGMOG00000011140
esox_lucius ENSELUG00000016275
pygocentrus_nattereri ENSPNAG00000002717
astyanax_mexicanus ENSAMXG00000020173
ictalurus_punctatus ENSIPUG00000016667
danio_rerio ENSDARG00000103132
lepisosteus_oculatus ENSLOCG00000011401
equus_caballus ENSECAG00000012031
equus_asinus_asinus ENSEASG00005007838
erinaceus_europaeus ENSEEUG00000000409
tupaia_belangeri ENSTBEG00000001846
echinops_telfairi ENSETEG00000016852
tupaia_belangeri ENSTBEG00000005387
capra_hircus ENSCHIG00000016942
ovis_aries ENSOARG00000020603
bos_taurus ENSBTAG00000004930
bos_mutus ENSBMUG00000021641
bison_bison_bison ENSBBBG00000003925
tursiops_truncatus ENSTTRG00000007660
sus_scrofa ENSSSCG00000005007
ursus_americanus ENSUAMG00000003534
ursus_maritimus ENSUMAG00000007634
ailuropoda_melanoleuca ENSAMEG00000009538
canis_lupus_dingo ENSCAFG00020021981
canis_lupus_familiaris ENSCAFG00000014201
vulpes_vulpes ENSVVUG00000029866
neovison_vison ENSNVIG00000000507
panthera_pardus ENSPPRG00000024751
panthera_tigris_altaica ENSPTIG00000014371
felis_catus ENSFCAG00000022138
pteropus_vampyrus ENSPVAG00000013485
myotis_lucifugus ENSMLUG00000013903
propithecus_coquereli ENSPCOG00000022293
prolemur_simus ENSPSMG00000018661
microcebus_murinus ENSMICG00000030317
otolemur_garnettii ENSOGAG00000028257
pan_paniscus ENSPPAG00000042919
pan_troglodytes ENSPTRG00000030748
homo_sapiens ENSG00000165506
gorilla_gorilla ENSGGOG00000024797
nomascus_leucogenys ENSNLEG00000011975
colobus_angolensis_palliatus ENSCANG00000004726
piliocolobus_tephrosceles ENSPTEG00000001129
rhinopithecus_bieti ENSRBIG00000012684
rhinopithecus_roxellana ENSRROG00000031163
macaca_mulatta ENSMMUG00000008284
macaca_nemestrina ENSMNEG00000034164
macaca_fascicularis ENSMFAG00000045239
