bos_taurus ENSBTAG00000051666
bos_mutus ENSBMUG00000008746
bison_bison_bison ENSBBBG00000001805
sus_scrofa ENSSSCG00000033906
equus_asinus_asinus ENSEASG00005023400
equus_caballus ENSECAG00000038006
ailuropoda_melanoleuca ENSAMEG00000004185
ursus_americanus ENSUAMG00000017693
canis_lupus_familiaris ENSCAFG00000023637
canis_lupus_dingo ENSCAFG00020013849
vulpes_vulpes ENSVVUG00000018895
neovison_vison ENSNVIG00000010873
myotis_lucifugus ENSMLUG00000025561
myotis_lucifugus ENSMLUG00000029757
myotis_lucifugus ENSMLUG00000026345
castor_canadensis ENSCCNG00000007974
dipodomys_ordii ENSDORG00000027603
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025556
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024635
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000018211
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026078
rattus_norvegicus ENSRNOG00000028779
meriones_unguiculatus ENSMUGG00000020795
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013744
cricetulus_griseus_crigri_1.0 ENSCGRG00000009546
cricetulus_griseus_crigri-picr ENSCGRG00015022360
mesocricetus_auratus ENSMAUG00000000098
microtus_ochrogaster ENSMOCG00000008284
peromyscus_maniculatus_bairdii ENSPEMG00000020446
nannospalax_galili ENSNGAG00000022511
mus_spicilegus ENSMSIG00000028706
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025555
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000051769
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024633
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026077
rattus_norvegicus ENSRNOG00000053099
meriones_unguiculatus ENSMUGG00000020803
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013326
cricetulus_griseus_crigri-picr ENSCGRG00015022371
cricetulus_griseus_crigri_1.0 ENSCGRG00000009568
mesocricetus_auratus ENSMAUG00000015238
peromyscus_maniculatus_bairdii ENSPEMG00000022089
microtus_ochrogaster ENSMOCG00000012402
nannospalax_galili ENSNGAG00000023289
jaculus_jaculus ENSJJAG00000021478
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007109
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000004794
fukomys_damarensis ENSFDAG00000017787
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100019454
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000004747
fukomys_damarensis ENSFDAG00000005605
chinchilla_lanigera ENSCLAG00000014442
octodon_degus ENSODEG00000016712
ictidomys_tridecemlineatus ENSSTOG00000023892
marmota_marmota_marmota ENSMMMG00000005063
urocitellus_parryii ENSUPAG00010003262
spermophilus_dauricus ENSSDAG00000004074
oryctolagus_cuniculus ENSOCUG00000021444
prolemur_simus ENSPSMG00000025133
prolemur_simus ENSPSMG00000017587
piliocolobus_tephrosceles ENSPTEG00000023120
theropithecus_gelada ENSTGEG00000020850
rhinopithecus_bieti ENSRBIG00000034772
theropithecus_gelada ENSTGEG00000020722
