ailuropoda_melanoleuca ENSAMEG00000014709
ursus_maritimus ENSUMAG00000005021
canis_lupus_familiaris ENSCAFG00000028541
canis_lupus_dingo ENSCAFG00020018053
vulpes_vulpes ENSVVUG00000013541
ursus_maritimus ENSUMAG00000005018
ursus_americanus ENSUAMG00000027533
neovison_vison ENSNVIG00000015853
mustela_putorius_furo ENSMPUG00000005498
panthera_pardus ENSPPRG00000015566
panthera_tigris_altaica ENSPTIG00000008135
felis_catus ENSFCAG00000034626
sorex_araneus ENSSARG00000000413
myotis_lucifugus ENSMLUG00000012181
pteropus_vampyrus ENSPVAG00000006214
ovis_aries ENSOARG00000005441
capra_hircus ENSCHIG00000014053
bos_mutus ENSBMUG00000000271
bos_taurus ENSBTAG00000051435
bison_bison_bison ENSBBBG00000021742
sus_scrofa ENSSSCG00000029408
tursiops_truncatus ENSTTRG00000017312
vicugna_pacos ENSVPAG00000010720
equus_asinus_asinus ENSEASG00005002341
equus_caballus ENSECAG00000017215
cebus_capucinus_imitator ENSCCAG00000032912
saimiri_boliviensis_boliviensis ENSSBOG00000035136
callithrix_jacchus ENSCJAG00000044733
aotus_nancymaae ENSANAG00000030278
pan_troglodytes ENSPTRG00000044888
pan_paniscus ENSPPAG00000032016
gorilla_gorilla ENSGGOG00000016654
homo_sapiens ENSG00000120784
pongo_abelii ENSPPYG00000009918
nomascus_leucogenys ENSNLEG00000016977
theropithecus_gelada ENSTGEG00000006420
cercocebus_atys ENSCATG00000039601
papio_anubis ENSPANG00000019660
macaca_fascicularis ENSMFAG00000041187
macaca_mulatta ENSMMUG00000047387
macaca_nemestrina ENSMNEG00000029557
chlorocebus_sabaeus ENSCSAG00000004151
mandrillus_leucophaeus ENSMLEG00000041722
colobus_angolensis_palliatus ENSCANG00000036764
piliocolobus_tephrosceles ENSPTEG00000013014
rhinopithecus_bieti ENSRBIG00000039413
rhinopithecus_roxellana ENSRROG00000039306
carlito_syrichta ENSTSYG00000010884
microcebus_murinus ENSMICG00000009515
propithecus_coquereli ENSPCOG00000000277
prolemur_simus ENSPSMG00000019426
otolemur_garnettii ENSOGAG00000013495
castor_canadensis ENSCCNG00000003287
dipodomys_ordii ENSDORG00000001378
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014176
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100019477
fukomys_damarensis ENSFDAG00000011304
cavia_aperea ENSCAPG00000007445
cavia_porcellus ENSCPOG00000007951
octodon_degus ENSODEG00000016168
chinchilla_lanigera ENSCLAG00000011125
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020620
cricetulus_griseus_crigri-picr ENSCGRG00015027121
mesocricetus_auratus ENSMAUG00000021892
microtus_ochrogaster ENSMOCG00000006998
peromyscus_maniculatus_bairdii ENSPEMG00000006382
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030583
mus_spicilegus ENSMSIG00000003268
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000047473
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029487
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0012721
rattus_norvegicus ENSRNOG00000055519
nannospalax_galili ENSNGAG00000015666
jaculus_jaculus ENSJJAG00000023285
urocitellus_parryii ENSUPAG00010021339
ictidomys_tridecemlineatus ENSSTOG00000005694
spermophilus_dauricus ENSSDAG00000005346
marmota_marmota_marmota ENSMMMG00000004310
oryctolagus_cuniculus ENSOCUG00000010157
ochotona_princeps ENSOPRG00000003005
spermophilus_dauricus ENSSDAG00000020486
spermophilus_dauricus ENSSDAG00000020484
spermophilus_dauricus ENSSDAG00000020492
marmota_marmota_marmota ENSMMMG00000008465
urocitellus_parryii ENSUPAG00010003951
otolemur_garnettii ENSOGAG00000034157
dasypus_novemcinctus ENSDNOG00000032824
loxodonta_africana ENSLAFG00000004782
