cavia_porcellus ENSCPOG00000008611
fukomys_damarensis ENSFDAG00000011494
microtus_ochrogaster ENSMOCG00000022868
meriones_unguiculatus ENSMUGG00000014280
oryctolagus_cuniculus ENSOCUG00000029696
rhinopithecus_roxellana ENSRROG00000034751
mustela_putorius_furo ENSMPUG00000014307
neovison_vison ENSNVIG00000002344
ursus_americanus ENSUAMG00000024730
ursus_maritimus ENSUMAG00000005667
vulpes_vulpes ENSVVUG00000014599
panthera_pardus ENSPPRG00000007951
panthera_tigris_altaica ENSPTIG00000021649
myotis_lucifugus ENSMLUG00000025288
equus_caballus ENSECAG00000031330
equus_caballus ENSECAG00000037084
equus_caballus ENSECAG00000036997
equus_caballus ENSECAG00000039703
equus_caballus ENSECAG00000040328
bison_bison_bison ENSBBBG00000010030
bos_mutus ENSBMUG00000025286
capra_hircus ENSCHIG00000018387
bos_mutus ENSBMUG00000025289
bos_taurus ENSBTAG00000033759
bison_bison_bison ENSBBBG00000025494
ovis_aries ENSOARG00000004485
capra_hircus ENSCHIG00000025526
sus_scrofa ENSSSCG00000029257
