pelodiscus_sinensis ENSPSIG00000017972
chelonoidis_abingdonii ENSCABG00000017490
crocodylus_porosus ENSCPRG00005005892
pogona_vitticeps ENSPVIG00000007060
taeniopygia_guttata ENSTGUG00000012597
lonchura_striata_domestica ENSLSDG00000005062
serinus_canaria ENSSCAG00000016957
junco_hyemalis ENSJHYG00000014654
ficedula_albicollis ENSFALG00000001554
manacus_vitellinus ENSMVIG00005005947
melopsittacus_undulatus ENSMUNG00000013836
gallus_gallus ENSGALG00000020262
meleagris_gallopavo ENSMGAG00000007693
numida_meleagris ENSNMEG00000000817
apteryx_rowi ENSARWG00000001621
apteryx_owenii ENSAOWG00000008521
dromaius_novaehollandiae ENSDNVG00000010010
nothoprocta_perdicaria ENSNPEG00000003856
calidris_pugnax ENSCPUG00000001890
chrysemys_picta_bellii ENSCPBG00000020676
anser_brachyrhynchus ENSABRG00000003033
anas_platyrhynchos_platyrhynchos ENSAPLG00000010799
calidris_pygmaea ENSCPGG00000010806
parus_major ENSPMJG00000011379
zonotrichia_albicollis ENSZALG00000018236
coturnix_japonica ENSCJPG00005018808
notamacropus_eugenii ENSMEUG00000005665
sarcophilus_harrisii ENSSHAG00000009115
monodelphis_domestica ENSMODG00000017737
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000016409
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034153
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033000
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031544
rattus_norvegicus ENSRNOG00000053813
meriones_unguiculatus ENSMUGG00000024628
peromyscus_maniculatus_bairdii ENSPEMG00000000591
microtus_ochrogaster ENSMOCG00000017047
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013137
cricetulus_griseus_crigri-picr ENSCGRG00015017548
cricetulus_griseus_crigri_1.0 ENSCGRG00000007637
nannospalax_galili ENSNGAG00000014623
jaculus_jaculus ENSJJAG00000019521
ictidomys_tridecemlineatus ENSSTOG00000001134
spermophilus_dauricus ENSSDAG00000005860
urocitellus_parryii ENSUPAG00010001621
marmota_marmota_marmota ENSMMMG00000006657
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000934
fukomys_damarensis ENSFDAG00000011757
octodon_degus ENSODEG00000002240
chinchilla_lanigera ENSCLAG00000005942
oryctolagus_cuniculus ENSOCUG00000009613
ochotona_princeps ENSOPRG00000007872
piliocolobus_tephrosceles ENSPTEG00000025639
nomascus_leucogenys ENSNLEG00000035399
cebus_capucinus_imitator ENSCCAG00000013692
homo_sapiens ENSG00000101882
gorilla_gorilla ENSGGOG00000013330
pan_paniscus ENSPPAG00000030627
pan_troglodytes ENSPTRG00000022233
pongo_abelii ENSPPYG00000020679
rhinopithecus_roxellana ENSRROG00000043801
rhinopithecus_bieti ENSRBIG00000039091
colobus_angolensis_palliatus ENSCANG00000030639
cercocebus_atys ENSCATG00000030292
papio_anubis ENSPANG00000013752
theropithecus_gelada ENSTGEG00000020187
mandrillus_leucophaeus ENSMLEG00000033533
macaca_nemestrina ENSMNEG00000045325
macaca_fascicularis ENSMFAG00000003304
macaca_mulatta ENSMMUG00000012382
callithrix_jacchus ENSCJAG00000004941
saimiri_boliviensis_boliviensis ENSSBOG00000025492
aotus_nancymaae ENSANAG00000038130
carlito_syrichta ENSTSYG00000013374
propithecus_coquereli ENSPCOG00000016335
microcebus_murinus ENSMICG00000013599
prolemur_simus ENSPSMG00000000260
otolemur_garnettii ENSOGAG00000001004
equus_caballus ENSECAG00000021142
tursiops_truncatus ENSTTRG00000011455
pteropus_vampyrus ENSPVAG00000016945
myotis_lucifugus ENSMLUG00000008310
bos_taurus ENSBTAG00000010884
bos_mutus ENSBMUG00000010695
capra_hircus ENSCHIG00000000111
ovis_aries ENSOARG00000015950
vicugna_pacos ENSVPAG00000009548
sus_scrofa ENSSSCG00000012613
sorex_araneus ENSSARG00000004700
mustela_putorius_furo ENSMPUG00000001502
mustela_putorius_furo ENSMPUG00000001482
neovison_vison ENSNVIG00000022430
ailuropoda_melanoleuca ENSAMEG00000000173
canis_lupus_dingo ENSCAFG00020003993
vulpes_vulpes ENSVVUG00000011683
canis_lupus_familiaris ENSCAFG00000018433
panthera_pardus ENSPPRG00000023513
felis_catus ENSFCAG00000004392
dasypus_novemcinctus ENSDNOG00000037645
choloepus_hoffmanni ENSCHOG00000001285
erinaceus_europaeus ENSEEUG00000004457
equus_asinus_asinus ENSEASG00005007674
loxodonta_africana ENSLAFG00000002962
procavia_capensis ENSPCAG00000002954
dipodomys_ordii ENSDORG00000011448
mesocricetus_auratus ENSMAUG00000020220
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003914
chlorocebus_sabaeus ENSCSAG00000018345
panthera_tigris_altaica ENSPTIG00000015239
echinops_telfairi ENSETEG00000001007
echinops_telfairi ENSETEG00000007967
oryctolagus_cuniculus ENSOCUG00000023672
phascolarctos_cinereus ENSPCIG00000028920
xiphophorus_maculatus ENSXMAG00000013674
xiphophorus_couchianus ENSXCOG00000016573
oryzias_latipes_asm223471v1 ENSORLG00020003705
mola_mola ENSMMOG00000004186
mastacembelus_armatus ENSMAMG00000020080
gadus_morhua ENSGMOG00000001592
astyanax_mexicanus ENSAMXG00000000202
paramormyrops_kingsleyae ENSPKIG00000019447
scleropages_formosus ENSSFOG00015005648
