dasypus_novemcinctus ENSDNOG00000008932
choloepus_hoffmanni ENSCHOG00000003954
loxodonta_africana ENSLAFG00000012564
chinchilla_lanigera ENSCLAG00000005142
octodon_degus ENSODEG00000011628
cavia_porcellus ENSCPOG00000015613
cavia_aperea ENSCAPG00000013110
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003910
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000012662
fukomys_damarensis ENSFDAG00000009097
spermophilus_dauricus ENSSDAG00000013862
urocitellus_parryii ENSUPAG00010009665
ictidomys_tridecemlineatus ENSSTOG00000011663
marmota_marmota_marmota ENSMMMG00000023522
mus_spicilegus ENSMSIG00000005327
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024548
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000070883
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023626
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0025078
rattus_norvegicus ENSRNOG00000052954
meriones_unguiculatus ENSMUGG00000005793
peromyscus_maniculatus_bairdii ENSPEMG00000020896
microtus_ochrogaster ENSMOCG00000009037
cricetulus_griseus_crigri-picr ENSCGRG00015004293
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001021032
cricetulus_griseus_crigri_1.0 ENSCGRG00000003985
mesocricetus_auratus ENSMAUG00000021887
nannospalax_galili ENSNGAG00000011382
jaculus_jaculus ENSJJAG00000019851
dipodomys_ordii ENSDORG00000015564
oryctolagus_cuniculus ENSOCUG00000012003
ochotona_princeps ENSOPRG00000002935
tupaia_belangeri ENSTBEG00000012893
pan_troglodytes ENSPTRG00000012618
pan_paniscus ENSPPAG00000040665
homo_sapiens ENSG00000154479
gorilla_gorilla ENSGGOG00000006239
pongo_abelii ENSPPYG00000012915
nomascus_leucogenys ENSNLEG00000004927
piliocolobus_tephrosceles ENSPTEG00000036511
colobus_angolensis_palliatus ENSCANG00000030315
rhinopithecus_roxellana ENSRROG00000028316
rhinopithecus_bieti ENSRBIG00000032337
macaca_mulatta ENSMMUG00000031398
macaca_fascicularis ENSMFAG00000000770
macaca_nemestrina ENSMNEG00000032114
chlorocebus_sabaeus ENSCSAG00000015204
papio_anubis ENSPANG00000011788
theropithecus_gelada ENSTGEG00000016526
cercocebus_atys ENSCATG00000035489
mandrillus_leucophaeus ENSMLEG00000042831
cebus_capucinus_imitator ENSCCAG00000036902
saimiri_boliviensis_boliviensis ENSSBOG00000034513
callithrix_jacchus ENSCJAG00000006664
aotus_nancymaae ENSANAG00000029959
carlito_syrichta ENSTSYG00000008286
prolemur_simus ENSPSMG00000022888
microcebus_murinus ENSMICG00000026950
propithecus_coquereli ENSPCOG00000006861
otolemur_garnettii ENSOGAG00000024516
pteropus_vampyrus ENSPVAG00000006611
myotis_lucifugus ENSMLUG00000013114
ursus_americanus ENSUAMG00000018986
ursus_maritimus ENSUMAG00000013893
ailuropoda_melanoleuca ENSAMEG00000010564
neovison_vison ENSNVIG00000005830
mustela_putorius_furo ENSMPUG00000000783
canis_lupus_dingo ENSCAFG00020002885
canis_lupus_familiaris ENSCAFG00000012387
vulpes_vulpes ENSVVUG00000016602
panthera_pardus ENSPPRG00000007084
panthera_tigris_altaica ENSPTIG00000013019
felis_catus ENSFCAG00000025828
equus_caballus ENSECAG00000016815
equus_asinus_asinus ENSEASG00005022841
capra_hircus ENSCHIG00000013234
ovis_aries ENSOARG00000003082
bos_mutus ENSBMUG00000003016
bos_taurus ENSBTAG00000001090
bison_bison_bison ENSBBBG00000013801
tursiops_truncatus ENSTTRG00000002146
sus_scrofa ENSSSCG00000015935
vicugna_pacos ENSVPAG00000007177
phascolarctos_cinereus ENSPCIG00000028597
notamacropus_eugenii ENSMEUG00000013285
sarcophilus_harrisii ENSSHAG00000017921
monodelphis_domestica ENSMODG00000008147
ornithorhynchus_anatinus ENSOANG00000008538
