vulpes_vulpes ENSVVUG00000005206
canis_lupus_familiaris ENSCAFG00000029262
mustela_putorius_furo ENSMPUG00000006210
capra_hircus ENSCHIG00000022870
ovis_aries ENSOARG00000021031
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010183
fukomys_damarensis ENSFDAG00000014020
chinchilla_lanigera ENSCLAG00000014589
chinchilla_lanigera ENSCLAG00000015097
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029970
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000047720
mus_spicilegus ENSMSIG00000030134
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028926
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022689
rattus_norvegicus ENSRNOG00000057254
meriones_unguiculatus ENSMUGG00000014355
cricetulus_griseus_crigri_1.0 ENSCGRG00000017451
cricetulus_griseus_crigri-picr ENSCGRG00015025409
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013408
mesocricetus_auratus ENSMAUG00000011563
peromyscus_maniculatus_bairdii ENSPEMG00000027785
microtus_ochrogaster ENSMOCG00000003185
oryctolagus_cuniculus ENSOCUG00000029425
monodelphis_domestica ENSMODG00000028870
sarcophilus_harrisii ENSSHAG00000008711
