pan_paniscus ENSPPAG00000039357
pan_troglodytes ENSPTRG00000011931
homo_sapiens ENSG00000115355
gorilla_gorilla ENSGGOG00000012381
pongo_abelii ENSPPYG00000012401
nomascus_leucogenys ENSNLEG00000009231
macaca_mulatta ENSMMUG00000003003
macaca_fascicularis ENSMFAG00000037041
macaca_nemestrina ENSMNEG00000038308
cercocebus_atys ENSCATG00000031995
theropithecus_gelada ENSTGEG00000006430
papio_anubis ENSPANG00000021274
mandrillus_leucophaeus ENSMLEG00000037733
chlorocebus_sabaeus ENSCSAG00000014162
piliocolobus_tephrosceles ENSPTEG00000014271
colobus_angolensis_palliatus ENSCANG00000029732
cebus_capucinus_imitator ENSCCAG00000024773
saimiri_boliviensis_boliviensis ENSSBOG00000019821
callithrix_jacchus ENSCJAG00000009891
aotus_nancymaae ENSANAG00000034572
carlito_syrichta ENSTSYG00000009215
microcebus_murinus ENSMICG00000017444
propithecus_coquereli ENSPCOG00000004232
prolemur_simus ENSPSMG00000017097
otolemur_garnettii ENSOGAG00000004308
tupaia_belangeri ENSTBEG00000004971
dipodomys_ordii ENSDORG00000010670
castor_canadensis ENSCCNG00000023583
jaculus_jaculus ENSJJAG00000017280
jaculus_jaculus ENSJJAG00000015446
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016999
mus_spicilegus ENSMSIG00000022547
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000032740
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016156
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016734
rattus_norvegicus ENSRNOG00000004057
meriones_unguiculatus ENSMUGG00000023447
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001024375
cricetulus_griseus_crigri-picr ENSCGRG00015027320
cricetulus_griseus_crigri_1.0 ENSCGRG00000016004
mesocricetus_auratus ENSMAUG00000013658
microtus_ochrogaster ENSMOCG00000014061
peromyscus_maniculatus_bairdii ENSPEMG00000023244
nannospalax_galili ENSNGAG00000021000
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008470
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010991
fukomys_damarensis ENSFDAG00000010702
octodon_degus ENSODEG00000011846
chinchilla_lanigera ENSCLAG00000010133
cavia_porcellus ENSCPOG00000004824
cavia_aperea ENSCAPG00000006934
urocitellus_parryii ENSUPAG00010012715
spermophilus_dauricus ENSSDAG00000008974
ictidomys_tridecemlineatus ENSSTOG00000026277
marmota_marmota_marmota ENSMMMG00000007415
oryctolagus_cuniculus ENSOCUG00000003620
ochotona_princeps ENSOPRG00000010518
capra_hircus ENSCHIG00000010536
ovis_aries ENSOARG00000002400
bos_taurus ENSBTAG00000017469
bos_mutus ENSBMUG00000015192
bison_bison_bison ENSBBBG00000010947
tursiops_truncatus ENSTTRG00000013958
sus_scrofa ENSSSCG00000008406
vicugna_pacos ENSVPAG00000007094
ursus_maritimus ENSUMAG00000017062
ursus_americanus ENSUAMG00000024550
ailuropoda_melanoleuca ENSAMEG00000003927
neovison_vison ENSNVIG00000002285
mustela_putorius_furo ENSMPUG00000010340
canis_lupus_familiaris ENSCAFG00000002796
canis_lupus_dingo ENSCAFG00020026610
vulpes_vulpes ENSVVUG00000009946
panthera_pardus ENSPPRG00000004530
panthera_tigris_altaica ENSPTIG00000019432
felis_catus ENSFCAG00000023941
myotis_lucifugus ENSMLUG00000016070
pteropus_vampyrus ENSPVAG00000005370
equus_asinus_asinus ENSEASG00005001139
equus_caballus ENSECAG00000006877
erinaceus_europaeus ENSEEUG00000010962
sorex_araneus ENSSARG00000004621
jaculus_jaculus ENSJJAG00000016818
echinops_telfairi ENSETEG00000001081
procavia_capensis ENSPCAG00000007299
loxodonta_africana ENSLAFG00000007346
rhinopithecus_bieti ENSRBIG00000043908
rhinopithecus_roxellana ENSRROG00000038888
dasypus_novemcinctus ENSDNOG00000036210
dasypus_novemcinctus ENSDNOG00000034846
castor_canadensis ENSCCNG00000026632
choloepus_hoffmanni ENSCHOG00000006426
chrysemys_picta_bellii ENSCPBG00000020884
apteryx_rowi ENSARWG00000014752
cyanistes_caeruleus ENSCCEG00000010633
zonotrichia_albicollis ENSZALG00000009614
chelonoidis_abingdonii ENSCABG00000005040
phascolarctos_cinereus ENSPCIG00000010379
notamacropus_eugenii ENSMEUG00000008959
sarcophilus_harrisii ENSSHAG00000000522
monodelphis_domestica ENSMODG00000001885
ornithorhynchus_anatinus ENSOANG00000011182
calidris_pugnax ENSCPUG00000017794
calidris_pygmaea ENSCPGG00000013276
cyanistes_caeruleus ENSCCEG00000010632
parus_major ENSPMJG00000014422
junco_hyemalis ENSJHYG00000007239
zonotrichia_albicollis ENSZALG00000009601
serinus_canaria ENSSCAG00000014138
taeniopygia_guttata ENSTGUG00000007001
lonchura_striata_domestica ENSLSDG00000014116
ficedula_albicollis ENSFALG00000011240
lepidothrix_coronata ENSLCOG00000012481
lepidothrix_coronata ENSLCOG00000012433
manacus_vitellinus ENSMVIG00005008224
melopsittacus_undulatus ENSMUNG00000003738
anser_brachyrhynchus ENSABRG00000019719
anas_platyrhynchos_platyrhynchos ENSAPLG00000004375
gallus_gallus ENSGALG00000043587
meleagris_gallopavo ENSMGAG00000002107
coturnix_japonica ENSCJPG00005000821
numida_meleagris ENSNMEG00000010336
apteryx_owenii ENSAOWG00000011574
apteryx_haastii ENSAHAG00000017799
apteryx_rowi ENSARWG00000009156
dromaius_novaehollandiae ENSDNVG00000005925
nothoprocta_perdicaria ENSNPEG00000015492
crocodylus_porosus ENSCPRG00005013865
gopherus_agassizii ENSGAGG00000012232
chelonoidis_abingdonii ENSCABG00000005031
chrysemys_picta_bellii ENSCPBG00000020887
pelodiscus_sinensis ENSPSIG00000012810
pogona_vitticeps ENSPVIG00000016719
anolis_carolinensis ENSACAG00000003420
notechis_scutatus ENSNSUG00000015378
salvator_merianae ENSSMRG00000014757
sphenodon_punctatus ENSSPUG00000011887
xenopus_tropicalis ENSXETG00000004516
cynoglossus_semilaevis ENSCSEG00000001262
periophthalmus_magnuspinnatus ENSPMGG00000003002
gasterosteus_aculeatus ENSGACG00000010868
seriola_dumerili ENSSDUG00000018649
seriola_lalandi_dorsalis ENSSLDG00000023493
amphiprion_ocellaris ENSAOCG00000019952
acanthochromis_polyacanthus ENSAPOG00000005889
xiphophorus_couchianus ENSXCOG00000013383
oryzias_melastigma ENSOMEG00000012404
stegastes_partitus ENSSPAG00000016860
periophthalmus_magnuspinnatus ENSPMGG00000003697
hippocampus_comes ENSHCOG00000002767
labrus_bergylta ENSLBEG00000015014
amphiprion_percula ENSAPEG00000002147
monopterus_albus ENSMALG00000018713
anabas_testudineus ENSATEG00000011266
mastacembelus_armatus ENSMAMG00000021965
scophthalmus_maximus ENSSMAG00000018529
stegastes_partitus ENSSPAG00000020420
stegastes_partitus ENSSPAG00000019159
hippocampus_comes ENSHCOG00000002790
labrus_bergylta ENSLBEG00000027741
mola_mola ENSMMOG00000007476
xiphophorus_maculatus ENSXMAG00000016937
gambusia_affinis ENSGAFG00000010606
poecilia_mexicana ENSPMEG00000003446
poecilia_latipinna ENSPLAG00000021823
poecilia_formosa ENSPFOG00000009569
poecilia_mexicana ENSPMEG00000004319
poecilia_latipinna ENSPLAG00000009116
poecilia_reticulata ENSPREG00000002964
cyprinodon_variegatus ENSCVAG00000010495
fundulus_heteroclitus ENSFHEG00000006673
kryptolebias_marmoratus ENSKMAG00000017278
astatotilapia_calliptera ENSACLG00000024333
