castor_canadensis ENSCCNG00000002574
cricetulus_griseus_crigri-picr ENSCGRG00015010620
urocitellus_parryii ENSUPAG00010010058
spermophilus_dauricus ENSSDAG00000001053
oryctolagus_cuniculus ENSOCUG00000008061
otolemur_garnettii ENSOGAG00000013404
bos_mutus ENSBMUG00000001970
bos_taurus ENSBTAG00000054004
bison_bison_bison ENSBBBG00000017991
ovis_aries ENSOARG00000018662
capra_hircus ENSCHIG00000015615
bos_mutus ENSBMUG00000016169
bos_taurus ENSBTAG00000053663
bos_taurus ENSBTAG00000040357
capra_hircus ENSCHIG00000024249
ovis_aries ENSOARG00000018674
capra_hircus ENSCHIG00000024770
sus_scrofa ENSSSCG00000012213
equus_caballus ENSECAG00000033592
equus_caballus ENSECAG00000028057
equus_caballus ENSECAG00000031917
equus_asinus_asinus ENSEASG00005010487
myotis_lucifugus ENSMLUG00000030518
ursus_maritimus ENSUMAG00000017270
ursus_americanus ENSUAMG00000008995
ailuropoda_melanoleuca ENSAMEG00000011699
neovison_vison ENSNVIG00000019009
mustela_putorius_furo ENSMPUG00000002349
canis_lupus_familiaris ENSCAFG00000028900
canis_lupus_dingo ENSCAFG00020008197
vulpes_vulpes ENSVVUG00000006847
echinops_telfairi ENSETEG00000006902
echinops_telfairi ENSETEG00000018010
echinops_telfairi ENSETEG00000012695
echinops_telfairi ENSETEG00000017687
echinops_telfairi ENSETEG00000002020
echinops_telfairi ENSETEG00000017684
echinops_telfairi ENSETEG00000007278
dasypus_novemcinctus ENSDNOG00000025279
