astyanax_mexicanus ENSAMXG00000042183
pygocentrus_nattereri ENSPNAG00000027896
ictalurus_punctatus ENSIPUG00000004750
danio_rerio ENSDARG00000013732
amphiprion_ocellaris ENSAOCG00000001618
amphiprion_percula ENSAPEG00000020283
acanthochromis_polyacanthus ENSAPOG00000018035
stegastes_partitus ENSSPAG00000022175
hippocampus_comes ENSHCOG00000000597
seriola_lalandi_dorsalis ENSSLDG00000004251
seriola_dumerili ENSSDUG00000002127
mola_mola ENSMMOG00000017704
takifugu_rubripes ENSTRUG00000013187
pundamilia_nyererei ENSPNYG00000003685
haplochromis_burtoni ENSHBUG00000010834
astatotilapia_calliptera ENSACLG00000013532
maylandia_zebra ENSMZEG00005014056
neolamprologus_brichardi ENSNBRG00000005806
oreochromis_niloticus ENSONIG00000018782
amphilophus_citrinellus ENSACIG00000001281
scophthalmus_maximus ENSSMAG00000009422
gasterosteus_aculeatus ENSGACG00000013554
xiphophorus_maculatus ENSXMAG00000021844
xiphophorus_couchianus ENSXCOG00000019626
gambusia_affinis ENSGAFG00000019414
poecilia_latipinna ENSPLAG00000003579
poecilia_reticulata ENSPREG00000014344
poecilia_formosa ENSPFOG00000014976
poecilia_mexicana ENSPMEG00000008047
fundulus_heteroclitus ENSFHEG00000012244
cyprinodon_variegatus ENSCVAG00000014530
kryptolebias_marmoratus ENSKMAG00000007832
oryzias_latipes_asm223471v1 ENSORLG00020001901
oryzias_latipes_asm223469v1 ENSORLG00015016711
oryzias_latipes_asm223467v1 ENSORLG00000009327
oryzias_melastigma ENSOMEG00000018745
mastacembelus_armatus ENSMAMG00000003771
anabas_testudineus ENSATEG00000002535
monopterus_albus ENSMALG00000009568
cynoglossus_semilaevis ENSCSEG00000005950
periophthalmus_magnuspinnatus ENSPMGG00000007646
gadus_morhua ENSGMOG00000014452
scleropages_formosus ENSSFOG00015014659
paramormyrops_kingsleyae ENSPKIG00000002058
esox_lucius ENSELUG00000023475
lepisosteus_oculatus ENSLOCG00000000349
apteryx_owenii ENSAOWG00000011735
apteryx_haastii ENSAHAG00000003800
apteryx_rowi ENSARWG00000015070
dromaius_novaehollandiae ENSDNVG00000008441
nothoprocta_perdicaria ENSNPEG00000008022
taeniopygia_guttata ENSTGUG00000010951
lonchura_striata_domestica ENSLSDG00000002992
serinus_canaria ENSSCAG00000014393
zonotrichia_albicollis ENSZALG00000009333
junco_hyemalis ENSJHYG00000016107
parus_major ENSPMJG00000008247
cyanistes_caeruleus ENSCCEG00000013546
ficedula_albicollis ENSFALG00000012781
manacus_vitellinus ENSMVIG00005017019
lepidothrix_coronata ENSLCOG00000003570
calidris_pygmaea ENSCPGG00000014857
calidris_pugnax ENSCPUG00000004333
melopsittacus_undulatus ENSMUNG00000004880
anas_platyrhynchos_platyrhynchos ENSAPLG00000002391
anser_brachyrhynchus ENSABRG00000011316
meleagris_gallopavo ENSMGAG00000012941
coturnix_japonica ENSCJPG00005008777
gallus_gallus ENSGALG00000013810
numida_meleagris ENSNMEG00000021971
crocodylus_porosus ENSCPRG00005001149
chelonoidis_abingdonii ENSCABG00000020157
gopherus_agassizii ENSGAGG00000003936
chrysemys_picta_bellii ENSCPBG00000017174
pelodiscus_sinensis ENSPSIG00000006171
anolis_carolinensis ENSACAG00000008420
pogona_vitticeps ENSPVIG00000012895
notechis_scutatus ENSNSUG00000010344
salvator_merianae ENSSMRG00000000538
sphenodon_punctatus ENSSPUG00000004932
phascolarctos_cinereus ENSPCIG00000017072
notamacropus_eugenii ENSMEUG00000008690
sarcophilus_harrisii ENSSHAG00000006375
monodelphis_domestica ENSMODG00000017279
loxodonta_africana ENSLAFG00000006109
procavia_capensis ENSPCAG00000004877
echinops_telfairi ENSETEG00000011602
dasypus_novemcinctus ENSDNOG00000016121
choloepus_hoffmanni ENSCHOG00000007538
ursus_maritimus ENSUMAG00000005542
ursus_americanus ENSUAMG00000001533
ailuropoda_melanoleuca ENSAMEG00000011736
mustela_putorius_furo ENSMPUG00000018038
neovison_vison ENSNVIG00000020986
canis_lupus_dingo ENSCAFG00020023012
canis_lupus_familiaris ENSCAFG00000000295
vulpes_vulpes ENSVVUG00000004523
panthera_pardus ENSPPRG00000011460
panthera_tigris_altaica ENSPTIG00000021290
felis_catus ENSFCAG00000028600
equus_asinus_asinus ENSEASG00005009538
equus_caballus ENSECAG00000005198
bos_mutus ENSBMUG00000020429
bos_taurus ENSBTAG00000005851
bison_bison_bison ENSBBBG00000008532
capra_hircus ENSCHIG00000022022
capra_hircus ENSCHIG00000025059
ovis_aries ENSOARG00000001332
tursiops_truncatus ENSTTRG00000014998
vicugna_pacos ENSVPAG00000003804
sus_scrofa ENSSSCG00000004140
pteropus_vampyrus ENSPVAG00000014567
myotis_lucifugus ENSMLUG00000004025
erinaceus_europaeus ENSEEUG00000007086
castor_canadensis ENSCCNG00000030411
dipodomys_ordii ENSDORG00000001809
peromyscus_maniculatus_bairdii ENSPEMG00000016257
microtus_ochrogaster ENSMOCG00000022404
cricetulus_griseus_crigri-picr ENSCGRG00015021461
cricetulus_griseus_crigri_1.0 ENSCGRG00000010796
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018341
mesocricetus_auratus ENSMAUG00000020904
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015939
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015131
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000019868
mus_spicilegus ENSMSIG00000016311
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0023750
rattus_norvegicus ENSRNOG00000011540
meriones_unguiculatus ENSMUGG00000018854
nannospalax_galili ENSNGAG00000019074
jaculus_jaculus ENSJJAG00000024412
chinchilla_lanigera ENSCLAG00000012124
octodon_degus ENSODEG00000008777
cavia_porcellus ENSCPOG00000004721
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011622
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100012306
fukomys_damarensis ENSFDAG00000010501
urocitellus_parryii ENSUPAG00010019730
ictidomys_tridecemlineatus ENSSTOG00000002282
spermophilus_dauricus ENSSDAG00000020380
marmota_marmota_marmota ENSMMMG00000000716
oryctolagus_cuniculus ENSOCUG00000002554
tupaia_belangeri ENSTBEG00000015612
pan_paniscus ENSPPAG00000028015
pan_troglodytes ENSPTRG00000018662
homo_sapiens ENSG00000009844
gorilla_gorilla ENSGGOG00000015524
pongo_abelii ENSPPYG00000017055
nomascus_leucogenys ENSNLEG00000015053
macaca_nemestrina ENSMNEG00000042113
macaca_fascicularis ENSMFAG00000032780
macaca_mulatta ENSMMUG00000023012
papio_anubis ENSPANG00000004286
mandrillus_leucophaeus ENSMLEG00000030330
