cebus_capucinus_imitator ENSCCAG00000021789
saimiri_boliviensis_boliviensis ENSSBOG00000031117
callithrix_jacchus ENSCJAG00000011432
aotus_nancymaae ENSANAG00000036235
pan_paniscus ENSPPAG00000028707
pan_troglodytes ENSPTRG00000018273
gorilla_gorilla ENSGGOG00000009736
homo_sapiens ENSG00000112115
pongo_abelii ENSPPYG00000016703
nomascus_leucogenys ENSNLEG00000003884
mandrillus_leucophaeus ENSMLEG00000031459
cercocebus_atys ENSCATG00000036902
macaca_fascicularis ENSMFAG00000001422
macaca_nemestrina ENSMNEG00000041013
macaca_mulatta ENSMMUG00000007403
theropithecus_gelada ENSTGEG00000000573
papio_anubis ENSPANG00000000806
chlorocebus_sabaeus ENSCSAG00000013028
piliocolobus_tephrosceles ENSPTEG00000007595
colobus_angolensis_palliatus ENSCANG00000040712
rhinopithecus_bieti ENSRBIG00000044223
rhinopithecus_roxellana ENSRROG00000040427
carlito_syrichta ENSTSYG00000011180
prolemur_simus ENSPSMG00000016139
propithecus_coquereli ENSPCOG00000021965
microcebus_murinus ENSMICG00000043002
otolemur_garnettii ENSOGAG00000015542
tupaia_belangeri ENSTBEG00000000474
castor_canadensis ENSCCNG00000021824
dipodomys_ordii ENSDORG00000008932
cricetulus_griseus_crigri_1.0 ENSCGRG00000018188
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001015169
cricetulus_griseus_crigri-picr ENSCGRG00015021695
mesocricetus_auratus ENSMAUG00000014054
microtus_ochrogaster ENSMOCG00000000135
peromyscus_maniculatus_bairdii ENSPEMG00000020016
mus_spicilegus ENSMSIG00000030714
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000025929
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0014787
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0013982
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027232
rattus_norvegicus ENSRNOG00000012467
meriones_unguiculatus ENSMUGG00000000772
nannospalax_galili ENSNGAG00000003868
jaculus_jaculus ENSJJAG00000003345
cavia_aperea ENSCAPG00000000220
cavia_porcellus ENSCPOG00000035708
octodon_degus ENSODEG00000010713
chinchilla_lanigera ENSCLAG00000012310
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014659
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005122
fukomys_damarensis ENSFDAG00000011360
urocitellus_parryii ENSUPAG00010018457
ictidomys_tridecemlineatus ENSSTOG00000008569
marmota_marmota_marmota ENSMMMG00000024632
spermophilus_dauricus ENSSDAG00000007160
oryctolagus_cuniculus ENSOCUG00000004270
sorex_araneus ENSSARG00000007196
erinaceus_europaeus ENSEEUG00000006605
bos_mutus ENSBMUG00000021282
bos_taurus ENSBTAG00000002150
bison_bison_bison ENSBBBG00000000680
ovis_aries ENSOARG00000013930
capra_hircus ENSCHIG00000022239
tursiops_truncatus ENSTTRG00000004836
sus_scrofa ENSSSCG00000001748
vicugna_pacos ENSVPAG00000000545
ursus_americanus ENSUAMG00000019016
ursus_maritimus ENSUMAG00000004369
ailuropoda_melanoleuca ENSAMEG00000008590
mustela_putorius_furo ENSMPUG00000009002
neovison_vison ENSNVIG00000004217
canis_lupus_familiaris ENSCAFG00000028874
canis_lupus_dingo ENSCAFG00020013118
vulpes_vulpes ENSVVUG00000029390
panthera_pardus ENSPPRG00000024972
panthera_tigris_altaica ENSPTIG00000013074
felis_catus ENSFCAG00000033485
equus_caballus ENSECAG00000038266
equus_asinus_asinus ENSEASG00005004197
pteropus_vampyrus ENSPVAG00000010174
myotis_lucifugus ENSMLUG00000001736
loxodonta_africana ENSLAFG00000001544
procavia_capensis ENSPCAG00000011830
echinops_telfairi ENSETEG00000002530
dasypus_novemcinctus ENSDNOG00000011858
phascolarctos_cinereus ENSPCIG00000035772
notamacropus_eugenii ENSMEUG00000005305
sarcophilus_harrisii ENSSHAG00000012109
monodelphis_domestica ENSMODG00000018824
ornithorhynchus_anatinus ENSOANG00000003133
