gorilla_gorilla ENSGGOG00000043577
homo_sapiens ENSG00000236543
pan_troglodytes ENSPTRG00000047990
pan_paniscus ENSPPAG00000034376
nomascus_leucogenys ENSNLEG00000035641
rhinopithecus_roxellana ENSRROG00000039709
rhinopithecus_bieti ENSRBIG00000044005
piliocolobus_tephrosceles ENSPTEG00000029113
colobus_angolensis_palliatus ENSCANG00000021252
macaca_nemestrina ENSMNEG00000032460
macaca_fascicularis ENSMFAG00000041629
cercocebus_atys ENSCATG00000038572
mandrillus_leucophaeus ENSMLEG00000043350
theropithecus_gelada ENSTGEG00000009362
papio_anubis ENSPANG00000031502
saimiri_boliviensis_boliviensis ENSSBOG00000023997
callithrix_jacchus ENSCJAG00000039419
cebus_capucinus_imitator ENSCCAG00000036115
aotus_nancymaae ENSANAG00000035728
carlito_syrichta ENSTSYG00000030370
propithecus_coquereli ENSPCOG00000024758
prolemur_simus ENSPSMG00000007104
microcebus_murinus ENSMICG00000045039
microtus_ochrogaster ENSMOCG00000016191
peromyscus_maniculatus_bairdii ENSPEMG00000013713
cricetulus_griseus_crigri-picr ENSCGRG00015008140
cricetulus_griseus_crigri_1.0 ENSCGRG00000004749
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019178
mesocricetus_auratus ENSMAUG00000013893
mus_spicilegus ENSMSIG00000027681
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000085484
meriones_unguiculatus ENSMUGG00000022857
nannospalax_galili ENSNGAG00000000098
jaculus_jaculus ENSJJAG00000000882
castor_canadensis ENSCCNG00000023643
marmota_marmota_marmota ENSMMMG00000012766
ictidomys_tridecemlineatus ENSSTOG00000030003
urocitellus_parryii ENSUPAG00010008417
spermophilus_dauricus ENSSDAG00000000424
chinchilla_lanigera ENSCLAG00000005782
octodon_degus ENSODEG00000015711
fukomys_damarensis ENSFDAG00000020296
panthera_tigris_altaica ENSPTIG00000007364
felis_catus ENSFCAG00000040527
neovison_vison ENSNVIG00000017352
mustela_putorius_furo ENSMPUG00000011995
