poecilia_latipinna ENSPLAG00000011786
poecilia_mexicana ENSPMEG00000005436
poecilia_reticulata ENSPREG00000005080
xiphophorus_couchianus ENSXCOG00000009106
xiphophorus_maculatus ENSXMAG00000023356
gambusia_affinis ENSGAFG00000004361
fundulus_heteroclitus ENSFHEG00000009225
cyprinodon_variegatus ENSCVAG00000023405
oryzias_latipes_asm223467v1 ENSORLG00000030460
oryzias_latipes_asm223471v1 ENSORLG00020008815
oryzias_melastigma ENSOMEG00000008607
stegastes_partitus ENSSPAG00000018410
acanthochromis_polyacanthus ENSAPOG00000015223
amphiprion_ocellaris ENSAOCG00000015990
amphiprion_percula ENSAPEG00000013877
amphilophus_citrinellus ENSACIG00000007915
scophthalmus_maximus ENSSMAG00000006914
cynoglossus_semilaevis ENSCSEG00000014577
mola_mola ENSMMOG00000009011
periophthalmus_magnuspinnatus ENSPMGG00000012614
scophthalmus_maximus ENSSMAG00000018221
cynoglossus_semilaevis ENSCSEG00000014039
acanthochromis_polyacanthus ENSAPOG00000023348
amphiprion_percula ENSAPEG00000007225
haplochromis_burtoni ENSHBUG00000021113
cyprinodon_variegatus ENSCVAG00000003536
fundulus_heteroclitus ENSFHEG00000002329
gambusia_affinis ENSGAFG00000006799
xiphophorus_maculatus ENSXMAG00000029800
takifugu_rubripes ENSTRUG00000022533
esox_lucius ENSELUG00000000811
pygocentrus_nattereri ENSPNAG00000014382
paramormyrops_kingsleyae ENSPKIG00000014102
scleropages_formosus ENSSFOG00015000045
