oreochromis_niloticus ENSONIG00000013826
neolamprologus_brichardi ENSNBRG00000014994
amphiprion_ocellaris ENSAOCG00000013749
amphiprion_percula ENSAPEG00000021454
acanthochromis_polyacanthus ENSAPOG00000000908
stegastes_partitus ENSSPAG00000001528
labrus_bergylta ENSLBEG00000006334
mastacembelus_armatus ENSMAMG00000017771
seriola_lalandi_dorsalis ENSSLDG00000024491
periophthalmus_magnuspinnatus ENSPMGG00000003058
esox_lucius ENSELUG00000007693
ciona_savignyi ENSCSAVG00000001361
ciona_intestinalis ENSCING00000023438
