rhinopithecus_roxellana ENSRROG00000036783
rhinopithecus_bieti ENSRBIG00000030482
piliocolobus_tephrosceles ENSPTEG00000029560
colobus_angolensis_palliatus ENSCANG00000030441
cercocebus_atys ENSCATG00000003950
papio_anubis ENSPANG00000033295
mandrillus_leucophaeus ENSMLEG00000031682
papio_anubis ENSPANG00000032672
theropithecus_gelada ENSTGEG00000018508
piliocolobus_tephrosceles ENSPTEG00000029624
theropithecus_gelada ENSTGEG00000029150
rhinopithecus_bieti ENSRBIG00000032158
colobus_angolensis_palliatus ENSCANG00000028794
macaca_fascicularis ENSMFAG00000001895
macaca_mulatta ENSMMUG00000040712
macaca_nemestrina ENSMNEG00000035791
cercocebus_atys ENSCATG00000026012
theropithecus_gelada ENSTGEG00000005298
mandrillus_leucophaeus ENSMLEG00000044040
cebus_capucinus_imitator ENSCCAG00000029325
saimiri_boliviensis_boliviensis ENSSBOG00000023668
ursus_americanus ENSUAMG00000017952
