procavia_capensis ENSPCAG00000012754
echinops_telfairi ENSETEG00000017499
dasypus_novemcinctus ENSDNOG00000041183
choloepus_hoffmanni ENSCHOG00000003307
bos_mutus ENSBMUG00000024083
bos_taurus ENSBTAG00000005866
ovis_aries ENSOARG00000012586
capra_hircus ENSCHIG00000014415
tursiops_truncatus ENSTTRG00000004239
sus_scrofa ENSSSCG00000012283
vicugna_pacos ENSVPAG00000002762
equus_caballus ENSECAG00000019179
equus_asinus_asinus ENSEASG00005011135
pteropus_vampyrus ENSPVAG00000005467
myotis_lucifugus ENSMLUG00000011734
ursus_maritimus ENSUMAG00000008037
ursus_americanus ENSUAMG00000005752
ailuropoda_melanoleuca ENSAMEG00000012840
mustela_putorius_furo ENSMPUG00000013422
neovison_vison ENSNVIG00000006098
canis_lupus_dingo ENSCAFG00020021363
canis_lupus_familiaris ENSCAFG00000015170
vulpes_vulpes ENSVVUG00000017593
panthera_tigris_altaica ENSPTIG00000017612
panthera_pardus ENSPPRG00000002587
felis_catus ENSFCAG00000044281
sorex_araneus ENSSARG00000012388
erinaceus_europaeus ENSEEUG00000012650
chinchilla_lanigera ENSCLAG00000001537
octodon_degus ENSODEG00000009602
cavia_porcellus ENSCPOG00000031196
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000000969
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000584
fukomys_damarensis ENSFDAG00000008114
spermophilus_dauricus ENSSDAG00000023965
marmota_marmota_marmota ENSMMMG00000012489
urocitellus_parryii ENSUPAG00010017175
ictidomys_tridecemlineatus ENSSTOG00000008624
nannospalax_galili ENSNGAG00000019509
rattus_norvegicus ENSRNOG00000057227
jaculus_jaculus ENSJJAG00000021900
dipodomys_ordii ENSDORG00000024150
oryctolagus_cuniculus ENSOCUG00000029071
ochotona_princeps ENSOPRG00000003198
rhinopithecus_roxellana ENSRROG00000040771
rhinopithecus_bieti ENSRBIG00000011815
colobus_angolensis_palliatus ENSCANG00000034485
piliocolobus_tephrosceles ENSPTEG00000009639
mandrillus_leucophaeus ENSMLEG00000035952
papio_anubis ENSPANG00000008099
macaca_fascicularis ENSMFAG00000042362
macaca_nemestrina ENSMNEG00000031622
macaca_mulatta ENSMMUG00000014066
cercocebus_atys ENSCATG00000034554
theropithecus_gelada ENSTGEG00000005097
chlorocebus_sabaeus ENSCSAG00000013582
pan_paniscus ENSPPAG00000027628
pan_troglodytes ENSPTRG00000023331
homo_sapiens ENSG00000197779
gorilla_gorilla ENSGGOG00000042509
pongo_abelii ENSPPYG00000020302
nomascus_leucogenys ENSNLEG00000003479
saimiri_boliviensis_boliviensis ENSSBOG00000020798
cebus_capucinus_imitator ENSCCAG00000021742
callithrix_jacchus ENSCJAG00000015620
aotus_nancymaae ENSANAG00000034001
carlito_syrichta ENSTSYG00000008231
propithecus_coquereli ENSPCOG00000019656
microcebus_murinus ENSMICG00000037260
prolemur_simus ENSPSMG00000016360
otolemur_garnettii ENSOGAG00000014983
tupaia_belangeri ENSTBEG00000001263
sorex_araneus ENSSARG00000012712
equus_asinus_asinus ENSEASG00005011132
ailuropoda_melanoleuca ENSAMEG00000013413
