panthera_pardus ENSPPRG00000009893
panthera_tigris_altaica ENSPTIG00000010796
felis_catus ENSFCAG00000036506
ursus_americanus ENSUAMG00000010169
ursus_maritimus ENSUMAG00000024912
ailuropoda_melanoleuca ENSAMEG00000012728
vulpes_vulpes ENSVVUG00000029647
canis_lupus_dingo ENSCAFG00020012529
equus_asinus_asinus ENSEASG00005022368
equus_caballus ENSECAG00000008562
myotis_lucifugus ENSMLUG00000022863
bos_mutus ENSBMUG00000007198
bos_taurus ENSBTAG00000049025
bison_bison_bison ENSBBBG00000001218
bos_mutus ENSBMUG00000024076
ovis_aries ENSOARG00000006413
capra_hircus ENSCHIG00000014410
bos_taurus ENSBTAG00000046937
sus_scrofa ENSSSCG00000036997
mus_spicilegus ENSMSIG00000031619
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000074454
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031990
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021342
rattus_norvegicus ENSRNOG00000038128
meriones_unguiculatus ENSMUGG00000002858
cricetulus_griseus_crigri_1.0 ENSCGRG00000007784
cricetulus_griseus_crigri-picr ENSCGRG00015027386
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001002303
mesocricetus_auratus ENSMAUG00000018429
microtus_ochrogaster ENSMOCG00000017090
peromyscus_maniculatus_bairdii ENSPEMG00000008338
nannospalax_galili ENSNGAG00000000548
jaculus_jaculus ENSJJAG00000002842
octodon_degus ENSODEG00000002339
chinchilla_lanigera ENSCLAG00000014949
fukomys_damarensis ENSFDAG00000005208
ictidomys_tridecemlineatus ENSSTOG00000032044
spermophilus_dauricus ENSSDAG00000009242
urocitellus_parryii ENSUPAG00010014833
marmota_marmota_marmota ENSMMMG00000023485
theropithecus_gelada ENSTGEG00000014827
macaca_mulatta ENSMMUG00000040163
piliocolobus_tephrosceles ENSPTEG00000033925
prolemur_simus ENSPSMG00000004154
